ticker,CMBM US Equity
2019-11-12,-4.7865
2019-11-13,-3.2609
2019-11-14,-2.809
2019-11-15,3.6127000000000002
2019-11-18,-0.2789
2019-11-19,-0.6993
2019-11-20,-1.6901000000000002
2019-11-21,-1.5758999999999999
2019-11-22,-3.0568
2019-11-25,8.2583
2019-11-26,-7.0735
2019-11-27,6.4179
2019-11-29,1.683
2019-12-02,1.3793
2019-12-03,-4.6259
2019-12-04,-3.4237
2019-12-05,-2.3634
2019-12-06,-9.531
2019-12-09,0.5017
2019-12-10,-0.4992
2019-12-11,-3.5117000000000003
2019-12-12,5.8925
2019-12-13,1.6367
2019-12-16,-0.6441
2019-12-17,2.5932
2019-12-18,0.158
2019-12-19,2.2082
2019-12-20,6.6358
2019-12-23,11.5774
2019-12-24,3.7613
2019-12-26,-3.0
2019-12-27,1.1598
2019-12-30,0.1274
2019-12-31,11.1959
2020-01-02,2.9748
2020-01-03,-2.1111
2020-01-06,0.227
2020-01-07,1.1325
2020-01-08,2.0157
2020-01-09,-2.1954
2020-01-10,2.8058
2020-01-13,-0.9825
2020-01-14,-0.3308
2020-01-15,-0.6637
2020-01-16,-1.8931
2020-01-17,-3.0647
2020-01-21,-0.1171
2020-01-22,-1.4068
2020-01-23,0.3567
2020-01-24,-3.5545
2020-01-27,-1.1057
2020-01-28,-3.354
2020-01-29,-6.6838
2020-01-30,-7.1625
2020-01-31,2.5223
2020-02-03,1.5918999999999999
2020-02-04,2.849
2020-02-05,-0.831
2020-02-06,1.6760000000000002
2020-02-07,-2.7473
2020-02-10,0.9887
2020-02-11,-6.993
2020-02-12,-6.7669
2020-02-13,0.9677
2020-02-14,-1.4377
2020-02-18,1.4586999999999999
2020-02-19,2.3962
2020-02-20,0.468
2020-02-21,1.2422
2020-02-24,-3.681
2020-02-25,-1.2739
2020-02-26,-1.129
2020-02-27,0.8157
2020-02-28,1.1327
2020-03-02,-1.92
2020-03-03,-1.4682
2020-03-04,-0.6623
2020-03-05,-2.3333
2020-03-06,-3.0717
2020-03-09,-8.9789
2020-03-10,-5.9961
2020-03-11,-4.1152
2020-03-12,-9.0129
2020-03-13,6.1321
2020-03-16,-13.1111
2020-03-17,14.578
2020-03-18,1.1161
2020-03-19,16.5563
2020-03-20,-3.4091
2020-03-23,5.098
2020-03-24,1.6791
2020-03-25,-8.0734
2020-03-26,4.99
2020-03-27,-4.943
2020-03-30,1.0
2020-03-31,10.8911
2020-04-01,-11.25
2020-04-02,5.4326
2020-04-03,14.5038
2020-04-06,4.5
2020-04-07,-4.1467
2020-04-08,2.3295
2020-04-09,-3.7398
2020-04-13,-1.6892
2020-04-14,1.7182
2020-04-15,-1.1824
2020-04-16,-2.3932
2020-04-17,-0.3503
2020-04-20,-0.1757
2020-04-21,-5.4577
2020-04-22,8.0074
2020-04-23,-3.1034
2020-04-24,-0.8897
2020-04-27,5.5655
2020-04-28,-4.7619
2020-04-29,8.0357
2020-04-30,-5.2893
2020-05-01,-8.0279
2020-05-04,-0.1898
2020-05-05,-1.9011
2020-05-06,3.876
2020-05-07,-3.3582
2020-05-08,7.9151
2020-05-11,-1.6099999999999999
2020-05-12,-6.7273
2020-05-13,-11.8908
2020-05-14,-5.531
2020-05-15,-3.7471
2020-05-18,12.1655
2020-05-19,-7.3753
2020-05-20,-2.8103
2020-05-21,-3.6145
2020-05-22,1.25
2020-05-26,2.2222
2020-05-27,-3.3816
2020-05-28,6.5
2020-05-29,2.8169
2020-06-01,1.3699
2020-06-02,23.6486
2020-06-03,-6.1931
2020-06-04,5.0485
2020-06-05,4.2514
2020-06-08,0.1773
2020-06-09,-1.7699
2020-06-10,4.5045
2020-06-11,-4.3103
2020-06-12,4.6847
2020-06-15,2.0654
2020-06-16,5.3963
2020-06-17,10.4
2020-06-18,1.8841
2020-06-19,-0.2845
2020-06-22,-0.1427
2020-06-23,-0.2857
2020-06-24,-1.5758999999999999
2020-06-25,-1.0189
2020-06-26,1.1764999999999999
2020-06-29,3.7791
2020-06-30,3.0812
2020-07-01,-6.3859
2020-07-02,11.0305
2020-07-06,3.3987
2020-07-07,-4.9305
2020-07-08,20.2128
2020-07-09,4.9779
2020-07-10,12.5395
2020-07-13,-2.2472
2020-07-14,3.6398
2020-07-15,-1.756
2020-07-16,3.3866
2020-07-17,2.3658
2020-07-20,6.4
2020-07-21,-3.9265
2020-07-22,6.4348
2020-07-23,1.4706000000000001
2020-07-24,1.6103
2020-07-27,1.3471
2020-07-28,-9.3823
2020-07-29,4.3141
2020-07-30,0.4963
2020-07-31,-0.4115
