ticker,BBGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-29,11.25
2010-11-01,-4.4944
2010-11-02,-11.7647
2010-11-03,0.0
2010-11-04,-20.0
2010-11-05,0.0
2010-11-08,0.0
2010-11-09,16.6667
2010-11-10,7.1429
2010-11-11,0.0
2010-11-12,-20.0
2010-11-15,16.6667
2010-11-16,28.5714
2010-11-17,-33.1944
2010-11-18,0.6237
2010-11-19,48.7603
2010-11-22,0.0
2010-11-23,11.1111
2010-11-24,-10.0
2010-11-26,0.0
2010-11-29,22.2222
2010-11-30,-9.0909
2010-12-01,0.0
2010-12-02,-5.0
2010-12-03,0.0
2010-12-06,-5.2632
2010-12-07,5.5556
2010-12-08,-10.526299999999999
2010-12-09,5.8824
2010-12-10,11.1111
2010-12-13,-15.0
2010-12-14,17.647100000000002
2010-12-15,0.0
2010-12-16,0.0
2010-12-17,0.0
2010-12-20,0.0
2010-12-21,-10.0
2010-12-22,11.1111
2010-12-23,-15.0
2010-12-27,0.0
2010-12-28,0.0
2010-12-29,0.0
2010-12-30,5.8824
2010-12-31,0.0
2011-01-03,2.2222
2011-01-04,3.2609
2011-01-05,26.3158
2011-01-06,24.1667
2011-01-07,4.0268
2011-01-10,-3.2258
2011-01-11,0.0
2011-01-12,0.0
2011-01-13,0.0
2011-01-14,0.0
2011-01-18,-36.6667
2011-01-19,57.8947
2011-01-20,0.0
2011-01-21,0.0
2011-01-24,-6.6667
2011-01-25,-7.1429
2011-01-26,-7.6923
2011-01-27,-14.1667
2011-01-28,16.5049
2011-02-01,0.0
2011-02-02,-25.0
2011-02-03,11.1111
2011-02-04,14.0
2011-02-07,-3.5088
2011-02-08,0.0
2011-02-10,0.0
2011-02-11,-18.1818
2011-02-14,22.2222
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,-18.1818
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,11.1111
2011-02-28,0.0
2011-03-01,-20.0
2011-03-02,0.0
2011-03-03,0.0
2011-03-04,25.0
2011-03-08,-10.0
2011-03-09,11.1111
2011-03-10,-10.0
2011-03-11,11.1111
2011-03-14,0.0
2011-03-15,0.0
2011-03-17,-25.0
2011-03-18,33.3333
2011-03-21,-10.0
2011-03-22,0.0
2011-03-23,11.1111
2011-03-25,0.0
2011-03-28,-20.0
2011-03-29,13.75
2011-03-30,-17.5824
2011-03-31,20.0
2011-04-01,0.0
2011-04-04,0.0
2011-04-05,0.0
2011-04-06,0.0
2011-04-07,0.0
2011-04-08,-7.2222
2011-04-11,7.7844
2011-04-12,11.1111
2011-04-13,0.0
2011-04-14,0.0
2011-04-15,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-25,-2.0
2011-04-26,2.0408
2011-04-27,-20.0
2011-04-28,21.25
2011-04-29,-2.0619
2011-05-05,-15.7895
2011-05-06,0.0
2011-05-09,0.0
2011-05-11,0.0
2011-05-12,0.0
2011-05-13,0.0
2011-05-16,0.0
2011-05-17,-11.25
2011-05-18,12.6761
2011-05-19,-11.25
2011-05-20,11.2676
2011-05-23,-10.1266
2011-05-24,-1.4085
2011-05-26,-14.2857
2011-05-27,33.3333
2011-05-31,-1.25
2011-06-01,1.2658
2011-06-02,0.0
2011-06-06,-37.5
2011-06-07,58.0
2011-06-08,-24.0506
2011-06-10,31.6667
2011-06-13,1.2658
2011-06-14,-6.25
2011-06-17,0.0
2011-06-20,0.0
2011-06-21,-20.0
2011-06-22,-15.0
2011-06-24,33.3333
2011-06-27,0.0
2011-06-28,2.9412000000000003
2011-06-30,-14.2857
2011-07-01,16.6667
2011-07-05,0.0
2011-07-07,-27.1429
2011-07-08,27.451
2011-07-11,7.6923
2011-07-12,0.0
2011-07-14,-28.5714
2011-07-15,40.0
2011-07-18,0.0
2011-07-21,-14.2857
2011-07-27,0.0
2011-07-28,-16.6667
2011-07-29,40.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,-28.5714
2011-08-04,0.0
2011-08-05,-17.0
2011-08-08,0.3012
2011-08-09,19.6697
2011-08-10,-9.661200000000001
2011-08-11,-11.1111
2011-08-12,0.0
2011-08-15,12.5
2011-08-18,-11.1111
2011-08-19,-25.0
2011-08-22,0.0
2011-08-23,100.0
2011-08-24,-29.1667
2011-08-25,0.0
2011-08-29,-41.1765
2011-08-30,76.0
2011-09-07,-20.4545
2011-09-08,0.0
2011-09-09,0.0
2011-09-13,14.2857
2011-09-15,0.0
2011-09-16,-25.0
2011-09-19,33.3333
2011-09-21,-25.0
2011-09-22,0.0
2011-09-23,33.3333
2011-09-26,0.0
2011-10-03,-37.5
2011-10-04,0.0
2011-10-06,0.0
2011-10-07,-20.0
2011-10-10,75.0
2011-10-14,-68.5714
2011-10-17,127.2727
2011-10-18,40.0
2011-10-24,-64.2857
2011-10-25,180.0
2011-10-27,-2.8571
2011-10-28,-11.7647
2011-10-31,0.0
2011-11-01,16.6667
2011-11-03,-5.7143
2011-11-04,-54.5455
2011-11-07,66.6667
2011-11-08,-20.0
2011-11-09,0.625
2011-11-10,-0.6211
2011-11-11,25.0
2011-11-15,-20.0
2011-11-16,24.375
2011-11-18,-3.5176
2011-11-21,4.1667
2011-11-22,-0.75
2011-11-23,12.8463
2011-11-25,-17.8571
2011-11-28,28.2609
2011-11-30,0.0
2011-12-01,-15.2542
2011-12-02,18.0
2011-12-05,-32.2034
2011-12-06,-5.9375
2011-12-07,-30.897
2011-12-08,92.3077
2011-12-12,-40.0
2011-12-13,-26.6667
2011-12-14,-7.9545
2011-12-15,-6.1728
2011-12-16,78.9474
2011-12-19,0.0
2011-12-20,-17.647100000000002
2011-12-21,-7.1429
2011-12-22,15.3846
2011-12-23,13.3333
2011-12-27,-29.4118
2011-12-28,4.1667
2011-12-29,-28.0
2011-12-30,61.1111
2012-01-03,57.7586
2012-01-04,-37.9781
2012-01-05,25.9912
2012-01-09,-44.0559
2012-01-10,100.0
2012-01-11,-44.375
2012-01-12,34.8315
2012-01-13,0.0
2012-01-17,0.0
2012-01-18,-34.5833
2012-01-19,-37.5796
2012-01-20,95.9184
2012-01-24,20.8333
2012-01-25,-31.0345
2012-01-27,30.0
2012-01-30,10.0962
2012-01-31,4.8035
2012-02-01,0.0
2012-02-06,-6.6667
2012-02-08,0.0
2012-02-09,35.7143
2012-02-10,5.2632
2012-02-13,-0.625
2012-02-14,-9.434
2012-02-15,0.0
2012-02-16,10.4167
2012-02-21,-24.5283
2012-02-22,4.1667
2012-02-23,24.0
2012-02-24,-38.0645
2012-02-27,1.0417
2012-02-28,59.7938
2012-03-01,0.0
2012-03-02,0.0
2012-03-05,0.0
2012-03-06,2.2580999999999998
2012-03-08,0.0
2012-03-09,-24.2902
2012-03-13,10.0
2012-03-15,-27.2727
2012-03-16,4.1667
2012-03-19,4.0
2012-03-20,-23.0769
2012-03-21,0.0
2012-03-23,30.0
2012-03-26,52.4038
2012-03-27,-24.2902
2012-03-28,-20.0
2012-03-30,-15.625
2012-04-02,0.0
2012-04-03,-1.2346
2012-04-04,30.0
2012-04-09,0.0
2012-04-10,-30.7692
2012-04-11,11.1111
2012-04-13,-18.75
2012-04-17,0.0
2012-04-18,23.0769
2012-04-20,-20.0
2012-04-23,25.0
2012-04-25,-20.0
2012-04-27,62.5
2012-05-01,-7.6923
2012-05-02,-41.6667
2012-05-07,28.5714
2012-05-10,11.1111
2012-05-11,10.0
2012-05-14,22.7273
2012-05-15,0.0
2012-05-17,-33.3333
2012-05-18,11.1111
2012-05-21,10.0
2012-05-22,-9.0909
2012-05-25,40.0
2012-05-30,-28.5714
2012-06-01,0.0
2012-06-04,5.0
2012-06-06,4.7619
2012-06-11,0.0
2012-06-12,-9.0909
2012-06-15,-1.25
2012-06-18,11.3924
2012-06-20,-10.7955
2012-06-28,12.1019
2012-06-29,-9.0909
2012-07-02,-1.875
2012-07-03,0.0
2012-07-09,22.293
2012-07-11,-41.6667
2012-07-17,107.1429
2012-07-18,34.4828
2012-07-24,-30.7692
2012-07-25,-26.8519
2012-07-26,0.0
2012-07-27,26.5823
2012-07-31,-20.0
2012-08-01,0.0
2012-08-14,0.0
2012-08-15,0.0
2012-08-20,-1.25
2012-08-21,51.8987
2012-08-24,-34.1667
2012-08-28,0.0
2012-08-29,0.0
2012-08-31,11.3924
2012-09-04,-10.2273
2012-09-07,0.0
2012-09-10,1.2658
2012-09-11,-1.875
2012-09-12,-28.6624
2012-09-14,0.0
2012-09-17,114.2857
2012-09-18,0.0
2012-09-20,-40.0
2012-09-21,11.1111
2012-09-24,-30.0
2012-09-26,-14.2857
2012-09-27,16.6667
2012-10-02,0.0
2012-10-05,-14.2857
2012-10-10,0.0
2012-10-12,0.0
2012-10-15,0.0
2012-10-19,66.6667
2012-10-26,-11.875
2012-10-31,-31.9149
2012-11-01,150.0
2012-11-02,-33.3333
2012-11-05,-35.0
2012-11-06,0.0
2012-11-13,-7.6923
2012-11-14,0.0
2012-11-15,0.0
2012-11-16,0.0
2012-11-19,0.0
2012-11-20,50.0
2012-11-23,-2.0833
2012-11-26,2.1277
2012-11-27,-2.0833
2012-11-28,-9.2199
2012-11-29,-64.0625
2012-11-30,0.0
2012-12-03,0.0
2012-12-04,0.0
2012-12-06,0.0
2012-12-07,73.913
2012-12-10,-20.0
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,0.0
2012-12-17,0.0
2012-12-18,-28.125
2012-12-19,0.0
2012-12-20,0.0
2012-12-21,0.0
2012-12-24,0.0
2012-12-26,0.0
