ticker,HONT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-13,-12.5
2005-04-20,0.0
2005-04-28,0.1749
2005-05-16,11.1111
2005-05-19,-10.0
2005-07-08,0.3175
2005-07-11,0.0
2005-07-14,4.4304
2005-08-22,1.6846
2005-09-21,-5.9701
2005-09-23,1.5873
2005-10-13,0.0
2005-10-20,3.125
2005-12-14,2.1653000000000002
2006-01-03,4.4776
2006-02-03,0.1717
2006-02-13,-4.0
2006-02-24,1.1905000000000001
2006-03-29,5.8824
2006-04-04,0.0
2006-04-05,1.3889
2006-04-21,4.1096
2006-05-05,0.1581
2006-05-08,-2.6316
2006-05-09,1.3514
2006-05-12,1.3333
2006-06-05,-0.7895
2006-06-08,-1.8568
2006-07-10,-1.3514
2006-07-11,1.3699
2006-08-07,0.4331
2006-08-14,1.0782
2006-08-15,0.0
2006-08-16,0.0
2006-08-24,0.5333
2006-09-14,-1.3263
2006-10-18,-1.0753
2006-10-20,0.5435
2006-10-31,0.3208
2007-01-04,1.626
2007-01-24,-0.2667
2007-02-22,-6.2467
2007-02-23,6.8571
2007-02-28,-1.0695000000000001
2007-03-22,-1.6216
2007-03-23,0.2747
2007-04-04,-8.2192
2007-04-05,4.4776
2007-04-11,-3.0
2007-04-12,7.511
2007-05-09,-2.5582000000000003
2007-05-11,0.0
2007-05-15,4.2254
2007-05-29,-3.5135
2007-06-05,-0.5602
2007-07-12,0.2817
2007-07-20,0.0
2007-07-23,0.0
2007-07-24,0.0
2007-07-25,0.0
2007-08-16,0.1914
2007-08-23,0.0
2007-09-10,0.0
2007-10-23,0.2809
2007-10-29,1.4706000000000001
2007-11-02,-1.1111
2007-11-05,0.0
2007-11-13,0.0
2007-11-16,6.7416
2007-12-07,-6.0526
2007-12-27,3.5014
2008-01-18,-2.5709999999999997
2008-03-06,0.2088
2008-03-07,0.0
2008-03-25,0.0
2008-03-26,0.0
2008-04-16,0.5556
2008-04-23,0.0
2008-05-23,0.2076
2008-06-04,31.2155
2008-06-27,-21.8947
2008-07-11,-5.6604
2008-09-09,0.2147
2008-09-12,0.0
2008-09-19,-4.1429
2008-09-30,0.0
2008-10-06,-6.1103
2008-10-27,-12.6984
2008-10-28,0.0
2008-11-11,10.0312
2008-12-31,-1.3333
2009-01-29,-1.4061
2009-02-05,0.0
2009-02-11,0.0
2009-02-12,0.0
2009-02-19,28.866
2009-04-20,-22.4
2009-04-21,4.1237
2009-04-30,22.4557
2009-05-20,-1.3514
2009-07-31,-14.5956
2009-08-04,0.3215
2009-08-11,0.3205
2009-08-14,3.1949
2009-08-17,0.0
2009-08-25,0.0
2009-10-20,5.2632
2009-10-21,-0.2941
2009-11-24,-0.4753
2009-12-21,-2.9851
2009-12-22,-3.0738
2010-01-06,3.1713
2010-01-07,0.0
2010-01-29,0.9231
2010-02-01,-0.6098
2010-02-02,0.1534
2010-03-23,1.3514
2010-03-25,-5.7576
2010-03-26,0.0
2010-04-06,0.3215
2010-05-18,1.2536
2010-05-19,-1.2698
2010-05-21,0.0
2010-06-30,-2.8939
2010-07-12,0.0
2010-07-16,0.0
2010-08-13,0.2989
2010-08-27,0.0
2010-10-20,5.9603
2010-10-22,-3.125
2010-10-25,0.0
2010-11-04,0.0
2010-11-17,3.0894
2010-11-22,-2.8391
2010-12-01,0.0032
2011-01-04,0.3214
2011-01-13,6.7961
2011-01-25,-5.7576
2011-02-04,0.3226
2011-02-07,-0.9646
2011-02-09,0.974
2011-03-02,0.0
2011-03-03,-0.9646
2011-03-14,0.6494
2011-03-15,1.2903
2011-04-08,-0.9554
2011-05-05,1.6129
2011-05-18,0.0
2011-05-20,0.0
2011-06-09,0.0
2011-06-15,-1.9048
2011-06-16,0.6472
2011-06-24,-0.3215
2011-06-28,0.9677
2011-07-11,-0.639
2011-08-03,0.3226
2011-08-04,0.0
2011-08-05,0.0
2011-08-11,-0.3215
2011-08-18,-2.9032
2011-08-31,0.0
2011-09-09,0.0
2011-09-20,0.0
2011-10-14,0.0
2011-11-03,1.0067
2011-12-12,2.3256
2012-01-10,0.6494
2012-01-12,1.9355
2012-01-20,0.3165
2012-04-03,2.6128
2012-04-09,1.8519
2012-04-13,0.0
2012-04-24,-1.5152
2012-04-30,1.5385
2012-05-01,0.0
2012-05-02,0.0
2012-05-25,0.3802
2012-06-06,3.0303
2012-07-06,-4.1176
2012-07-11,1.227
2012-07-24,-1.5152
2012-08-06,-0.9231
2012-08-07,0.0
2012-08-08,0.9317
2012-08-09,-0.9231
2012-08-10,0.9317
2012-08-13,0.3846
2012-08-16,0.0
2012-08-21,-0.9231
2012-08-22,0.3106
2012-08-23,0.0
2012-08-24,0.0
2012-08-27,0.0
2012-08-28,0.6192
2012-09-17,0.0
2012-09-19,0.0
2012-09-21,0.0
2012-09-26,-1.2308
2012-09-27,1.2461
2012-09-28,1.2308
2012-10-01,0.0
2012-10-02,-0.304
2012-10-03,0.0
2012-10-04,0.0
2012-10-05,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.6098
2012-10-12,1.5152
2012-11-09,3.1621
2012-11-16,16.8418
2013-01-03,-15.0
2013-01-08,0.0
2013-01-22,-4.3647
2013-01-28,-0.9718
2013-01-30,0.9317
2013-02-05,0.0
2013-02-08,0.0
2013-02-11,1.5385
2013-02-19,0.4566
2013-02-22,1.5152
2013-03-01,-1.4925
2013-03-04,0.0
2013-03-05,1.5152
2013-03-11,-2.3881
2013-03-12,0.0
2013-03-13,0.9174
2013-03-14,1.5152
2013-03-15,-1.4925
2013-03-18,0.0
2013-03-19,1.5152
2013-03-20,0.0
2013-03-22,-0.1851
2013-03-25,3.176
2013-04-09,8.6957
2013-04-26,0.0
2013-05-03,4.0
2013-05-06,1.2821
2013-05-07,0.0
2013-05-08,-0.5063
2013-05-10,0.0
2013-05-28,2.1711
2013-05-30,0.0
2013-06-04,0.0
2013-06-18,-5.0
2013-06-27,1.8420999999999998
2013-07-15,4.6486
2013-07-16,18.5214
2013-07-23,-12.5
2013-08-01,1.4285999999999999
2013-08-05,1.4085
2013-08-06,-5.5556
2013-08-07,5.8824
2013-08-08,-2.0833
2013-08-16,2.4911
2013-08-27,18.0556
2013-08-30,-14.6471
2013-09-03,-1.1027
2013-09-04,14.2857
2013-09-25,-10.6707
2013-10-01,0.0
2013-10-03,0.0
2013-10-04,0.0
2013-10-28,3.7542999999999997
2013-11-25,0.7423
2013-11-27,0.0
2013-11-29,-5.1842
2013-12-02,0.5967
2013-12-03,-0.676
2013-12-04,-1.3889
2013-12-05,0.7042
2013-12-11,0.6993
2013-12-12,-0.0694
2013-12-23,5.6289
2013-12-27,2.6316
2013-12-30,-3.8462
2014-01-07,-2.6667
2014-01-17,0.0
2014-02-03,0.0
2014-02-10,0.0
2014-02-25,0.3574
2014-02-28,-1.3699
2014-03-03,-0.6944
2014-03-06,0.0
2014-03-10,-2.0979
2014-03-12,0.0
2014-03-13,0.0
2014-03-19,0.0
2014-03-20,0.0
2014-03-27,0.0
2014-03-28,0.0
2014-03-31,-0.7143
2014-04-02,2.1583
2014-04-07,0.0
2014-04-08,-2.1127
2014-04-10,-0.5755
2014-04-14,0.0
2014-04-22,0.0
2014-04-23,-0.4342
2014-04-25,0.0
2014-04-30,-0.436
2014-05-08,-0.219
2014-05-16,-0.4259
2014-05-20,0.295
2014-05-23,0.8824
2014-05-27,3.4985
2014-05-30,-4.2254
2014-06-02,4.4118
2014-06-06,0.0
2014-06-18,-1.7606000000000002
2014-06-27,0.2867
2014-08-21,-2.7981
2014-08-26,1.8453
2014-08-29,2.9135
2014-09-02,-7.2113
2014-09-03,3.218
2014-09-04,-2.2059
2014-09-10,-1.0827
2014-09-15,0.3344
2014-09-18,-0.6061
2014-09-19,-0.1067
2014-09-22,-0.8088
2014-10-07,0.0
2014-10-10,-2.8769
2014-10-29,2.7245
2014-11-11,-1.3878
2014-11-12,1.7513999999999998
2014-11-13,0.0
2014-11-14,-0.7752
2014-11-24,0.3906
2014-11-28,-1.9455
2014-12-02,0.0
2014-12-09,0.3968
2014-12-26,-0.3953
2014-12-30,0.3968
2014-12-31,-0.3953
2015-01-05,0.0
2015-01-06,0.0
2015-02-13,3.6187
2015-02-18,3.0769
2015-02-19,1.4925
2015-02-24,0.0
2015-02-27,1.4706000000000001
2015-03-03,0.0
2015-03-04,2.8986
2015-03-05,5.6338
2015-03-23,-10.6
2015-03-31,-1.5659999999999998
2015-04-08,0.0
2015-04-09,0.0
2015-05-26,5.7356
2015-05-28,-3.5971
2015-05-29,2.9851
2015-06-01,-4.3478
2015-06-04,4.5455
2015-06-10,0.0
2015-06-24,0.0
2015-07-01,-1.8115999999999999
2015-07-02,0.0
2015-08-10,0.369
2015-08-12,0.3971
2015-08-17,2.5735
2015-08-25,3.2258
2015-08-26,4.1667
2015-08-31,-5.3333
2015-09-23,-5.6338
2015-09-29,1.4925
2015-10-08,-1.4706000000000001
2015-10-12,0.0
2015-10-26,1.4925
2015-10-28,0.0
2015-11-09,1.4706000000000001
2015-11-10,0.0
2015-11-24,8.1871
2015-11-30,0.0
2015-12-01,-6.0811
2015-12-07,6.4748
2015-12-18,-4.7297
2015-12-21,-4.9645
2015-12-22,1.5672000000000001
2015-12-28,1.396
2016-01-04,1.4493
2016-01-12,2.8571
2016-01-19,-2.0833
2016-01-20,0.0
2016-01-22,0.0
2016-02-08,-1.4184
2016-02-19,1.7341
2016-02-24,5.1136
2016-02-29,-5.4054
2016-03-03,0.0
2016-03-22,1.7856999999999998
2016-03-24,0.0
2016-03-28,0.0
2016-03-31,0.0
2016-04-21,0.0
2016-04-25,1.193
2016-04-26,0.5548
2016-04-27,-0.469
2016-05-06,-1.3719999999999999
2016-05-10,0.1827
2016-05-25,2.1127
2016-05-31,-2.0
2016-06-03,0.2252
2016-06-06,-0.2247
2016-06-07,0.0
2016-06-09,1.689
2016-06-28,-1.5225
2016-07-06,0.0
2016-07-26,1.546
2016-08-05,0.346
2016-08-15,0.9557
2016-08-26,2.8811
2016-08-31,0.0
2016-09-01,-4.654
2016-09-26,0.0
2016-09-30,-0.3497
2016-10-11,0.2105
2016-10-17,0.1401
2016-10-18,-0.1399
2016-10-19,0.4902
2016-10-20,1.2544
2016-10-26,3.2347
2016-11-15,0.82
2016-11-25,1.3333
2016-11-28,-5.2632
2016-11-30,37.5
2016-12-01,-24.2424
2016-12-02,0.0
2016-12-05,0.0
2016-12-12,1.4667
2016-12-13,0.0
2016-12-14,0.3022
2016-12-20,0.8778
2016-12-21,0.0
2016-12-23,0.0
2016-12-29,1.2987
2017-01-03,-1.1538
2017-01-04,-0.0649
2017-01-10,3.8287
2017-01-23,-0.3125
2017-01-26,0.0627
2017-02-07,0.8772
2017-02-10,0.0
2017-02-17,9.7394
2017-02-21,0.0
2017-02-22,2.1591
2017-02-23,33.4816
2017-02-28,-5.0
2017-03-01,-16.6667
2017-03-23,0.0526
2017-03-24,0.0
2017-03-27,-0.0526
2017-03-28,0.0526
2017-03-30,4.0505
2017-04-06,0.1011
2017-04-10,-1.6566
2017-04-19,2.6089
2017-04-25,1.001
2017-04-26,-0.892
2017-04-27,0.9
2017-05-03,-1.7839
2017-05-05,1.8163
2017-05-09,-1.8831
2017-05-15,6.3938
2017-05-22,-4.7619
2017-05-24,0.1
2017-05-25,1.8981
2017-05-31,7.8431
2017-06-01,-7.7273
2017-06-06,0.4926
2017-06-07,-0.4412
2017-06-12,-1.5263
2017-06-13,1.0
2017-06-14,0.0
2017-06-20,-1.9802
2017-06-21,0.0
2017-06-27,2.0202
2017-06-29,8.9109
2017-07-10,-8.1818
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-25,-0.9901
2017-07-26,0.0
2017-08-15,1.5649
2017-08-28,13.5802
2017-08-29,-11.6522
2017-08-31,12.2047
2017-09-06,-6.3596
2017-09-13,0.0
2017-09-18,-3.9813
2017-09-26,-0.3902
2017-09-27,4.7992
2017-09-29,-4.5776
2017-10-02,-0.002
2017-10-04,0.049
2017-10-12,-0.1468
2017-10-24,0.4902
2017-10-30,1.9512
2017-11-07,-1.9139
2017-11-09,0.0
2017-11-10,0.0
2017-11-16,1.1093
2017-11-17,-0.3689
2017-11-22,-0.6042
2017-11-24,0.0
2017-11-27,0.002
2017-11-28,1.9588
2017-11-30,-0.2404
2017-12-01,-1.6366
2017-12-04,1.6639
2017-12-05,-1.6385999999999998
