ticker,ADIL US Equity
2018-12-17,-26.3158
2018-12-18,5.3571
2018-12-19,23.3898
2018-12-20,-15.6593
2018-12-21,40.0651
2018-12-24,15.1163
2018-12-26,27.4747
2018-12-27,-8.3994
2018-12-28,-3.9792
2018-12-31,-7.7477
2019-01-02,26.9531
2019-01-03,3.8462
2019-01-04,-5.1852
2019-01-07,-6.25
2019-01-08,4.8333
2019-01-09,-3.8156
2019-01-10,12.0661
2019-01-11,2.8024
2019-01-14,4.3042
2019-01-15,14.5805
2019-01-16,-8.7635
2019-01-17,-6.5789
2019-01-18,-5.6338
2019-01-22,-13.4328
2019-01-23,-6.8966
2019-01-24,10.1852
2019-01-25,-1.8487
2019-01-28,-10.9589
2019-01-29,-7.3077
2019-01-30,13.6929
2019-01-31,-0.1825
2019-02-01,25.777
2019-02-04,-6.1047
2019-02-05,-4.1796
2019-02-06,-3.8772
2019-02-07,-1.5126
2019-02-08,-8.0205
2019-02-11,-2.5974
2019-02-12,-9.7143
2019-02-13,-2.1097
2019-02-14,-7.3276
2019-02-15,-2.3256
2019-02-19,-14.5238
2019-02-20,-6.1281
2019-02-21,17.8042
2019-02-22,-3.5263999999999998
2019-02-25,3.6554
2019-02-26,-7.0529
2019-02-27,-2.439
2019-02-28,0.2778
2019-03-01,-2.7701000000000002
2019-03-04,-3.9886
2019-03-05,-1.1869
2019-03-06,3.6036
2019-03-07,-3.4783
2019-03-08,1.8018
2019-03-11,6.4897
2019-03-12,-4.4321
2019-03-13,5.2174
2019-03-14,0.0
2019-03-15,-8.8154
2019-03-18,-9.0634
2019-03-19,-0.9967
2019-03-20,-2.0134
2019-03-21,6.5068
2019-03-22,-3.2154
2019-03-25,-0.9967
2019-03-26,-1.0067
2019-03-27,-0.339
2019-03-28,10.2041
2019-03-29,5.8642
2019-04-01,-8.1633
2019-04-02,2.2222
2019-04-03,-0.3106
2019-04-04,-4.0498
2019-04-05,-0.3247
2019-04-08,-2.9316
2019-04-09,-1.0067
2019-04-10,0.339
2019-04-11,-2.027
2019-04-12,1.0345
2019-04-15,0.0
2019-04-16,-0.6826
2019-04-17,-2.7491
2019-04-18,-4.947
2019-04-22,0.0
2019-04-23,-3.7175000000000002
2019-04-24,-7.3359
2019-04-25,0.0
2019-04-26,4.1667
2019-04-29,2.0
2019-04-30,2.7451
2019-05-01,3.8167999999999997
2019-05-02,4.0441
2019-05-03,2.1201
2019-05-06,-0.346
2019-05-07,-4.1667
2019-05-08,0.3623
2019-05-09,-5.0542
2019-05-10,-9.8859
2019-05-13,-4.6414
2019-05-14,-1.3274
2019-05-15,2.2422
2019-05-16,-1.3158
2019-05-17,0.4444
2019-05-20,-2.6549
2019-05-21,-2.2727
2019-05-22,2.7907
2019-05-23,4.0724
2019-05-24,-0.8696
2019-05-28,-2.193
2019-05-29,-8.520199999999999
2019-05-30,2.451
2019-05-31,-11.4833
2019-06-03,-1.0811
2019-06-04,-1.0929
2019-06-05,6.0773
2019-06-06,6.7708
2019-06-07,3.9024
2019-06-10,-4.2254
2019-06-11,-5.8824
2019-06-12,0.0
2019-06-13,7.2917
2019-06-14,-5.3398
2019-06-17,-1.0256
2019-06-18,2.5907
2019-06-19,-5.5556
2019-06-20,3.2086
2019-06-21,1.0363
2019-06-24,-3.5897
2019-06-25,-1.5957
2019-06-26,0.0
2019-06-27,-3.7838000000000003
2019-06-28,-5.618
2019-07-01,0.5952
2019-07-02,0.5917
2019-07-03,5.2941
2019-07-05,2.7933
2019-07-08,-2.1739
2019-07-09,5.5556
2019-07-10,-2.1053
2019-07-11,7.5269
2019-07-12,-1.5
2019-07-15,0.5076
2019-07-16,2.0202
2019-07-17,-0.9901
2019-07-18,0.5
2019-07-19,-2.4876
2019-07-22,0.5102
2019-07-23,1.5228000000000002
2019-07-24,-0.5
2019-07-25,-6.5327
2019-07-26,0.5376
2019-07-29,-1.0695000000000001
2019-07-30,-1.0811
2019-07-31,-1.6393
2019-08-01,-1.6667
2019-08-02,1.3955
2019-08-05,-8.0626
2019-08-06,-3.6364
2019-08-07,3.1447
2019-08-08,2.439
2019-08-09,0.5952
2019-08-12,-0.5917
2019-08-13,2.3571
2019-08-14,-7.5366
2019-08-15,-8.1761
2019-08-16,8.9041
2019-08-19,5.6604
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,-0.5952
2019-08-23,-5.3892
2019-08-26,8.2278
2019-08-27,-8.7719
2019-08-28,-0.641
2019-08-29,-1.9355
2019-08-30,8.5526
2019-09-03,0.6061
2019-09-04,1.2048
2019-09-05,-7.1429
2019-09-06,3.2051
2019-09-09,-4.9689
2019-09-10,2.6144
2019-09-11,5.7325
2019-09-12,-3.012
2019-09-13,0.0
2019-09-16,4.3478
2019-09-17,-3.5714
2019-09-18,-8.0247
2019-09-19,-0.6711
2019-09-20,3.3784
2019-09-23,-2.6144
2019-09-24,-3.3557
2019-09-25,0.6944
2019-09-26,0.6897
2019-09-27,2.7397
2019-09-30,0.6667
2019-10-01,2.649
2019-10-02,-6.4516
2019-10-03,7.2414
2019-10-04,-5.4662
2019-10-07,3.4013999999999998
2019-10-08,-2.6316
2019-10-09,-1.6892
2019-10-10,-1.0309
2019-10-11,-0.6944
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,13.2867
2019-10-17,-1.2346
2019-10-18,1.25
2019-10-21,-2.4691
2019-10-22,-8.2278
2019-10-23,7.5862
2019-10-24,-7.0513
2019-10-25,5.5172
2019-10-28,6.8627
2019-10-29,-5.1988
2019-10-30,0.6516
2019-10-31,-0.6474
2019-11-01,-1.129
2019-11-04,8.3197
2019-11-05,-7.2289
2019-11-06,3.8961
2019-11-07,-2.3438
2019-11-08,3.68
2019-11-11,4.1667
2019-11-12,-4.0
2019-11-13,1.2346
2019-11-14,-3.6585
2019-11-15,-3.019
2019-11-18,-1.4553
2019-11-19,2.649
2019-11-20,-8.3871
2019-11-21,9.1549
2019-11-22,-7.0968
2019-11-25,-1.3194
2019-11-26,2.0408
2019-11-27,-1.3724
2019-11-29,1.3915
2019-12-02,-2.7586
2019-12-03,-0.7092
2019-12-04,-0.7143
2019-12-05,-0.6475
2019-12-06,9.3411
2019-12-09,7.2848
2019-12-10,4.321
2019-12-11,-1.1834
2019-12-12,0.5988
2019-12-13,30.9524
2019-12-16,15.0
2019-12-17,-14.6245
2019-12-18,6.0185
2019-12-19,6.5502
2019-12-20,-5.3279
2019-12-23,-6.0519
2019-12-24,9.4507
2019-12-26,-1.0651
2019-12-27,4.2553
2019-12-30,7.751
2019-12-31,-8.7087
2020-01-02,1.2448
2020-01-03,0.0
2020-01-06,-0.8197
2020-01-07,-1.4132
2020-01-08,3.5292
2020-01-09,0.0121
2020-01-10,-7.2987
2020-01-13,0.1747
2020-01-14,2.0052
2020-01-15,-1.2821
2020-01-16,-6.0606
2020-01-17,-2.3041
2020-01-21,-0.9434
2020-01-22,-4.2857
2020-01-23,0.4975
2020-01-24,5.4455
2020-01-27,-5.6338
2020-01-28,-1.99
2020-01-29,-5.5838
2020-01-30,-14.5161
2020-01-31,14.4654
2020-02-03,-3.2967
2020-02-04,-2.8409
2020-02-05,-0.5848
2020-02-06,8.8235
2020-02-07,-3.7838000000000003
2020-02-10,-9.5506
2020-02-11,5.5901
2020-02-12,1.1764999999999999
2020-02-13,-2.3256
2020-02-14,-9.8214
2020-02-18,0.1188
2020-02-19,6.1907
2020-02-20,2.4586
2020-02-21,5.4354
2020-02-24,-2.3045999999999998
2020-02-25,-7.0534
2020-02-26,1.2658
2020-02-27,-3.75
2020-02-28,-6.4935
2020-03-02,-2.0833
2020-03-03,2.1277
2020-03-04,4.9653
2020-03-05,5.1935
2020-03-06,-8.1761
2020-03-09,-8.9041
2020-03-10,3.0075
2020-03-11,-1.4599
2020-03-12,-9.6296
2020-03-13,4.6311
2020-03-16,4.9745
2020-03-17,-2.2388
2020-03-18,-12.2137
2020-03-19,5.2174
2020-03-20,-1.157
2020-03-23,-12.2074
2020-03-24,0.0
2020-03-25,18.0952
2020-03-26,4.8387
2020-03-27,6.1538
2020-03-30,-2.8986
2020-03-31,-2.9851
2020-04-01,-7.6923
2020-04-02,-2.5
2020-04-03,5.9829
2020-04-06,0.0
2020-04-07,-0.8065
2020-04-08,2.439
2020-04-09,-1.5873
2020-04-13,-0.8065
2020-04-14,7.3415
2020-04-15,4.5217
2020-04-16,18.8406
2020-04-17,-5.2195
2020-04-20,-6.9223
2020-04-21,-1.1612
2020-04-22,-3.4895
2020-04-23,3.6157
2020-04-24,-2.7972
2020-04-27,3.9568
2020-04-28,2.4221
2020-04-29,2.7095000000000002
2020-04-30,-2.4341
2020-05-01,-7.3158
2020-05-04,-1.0621
2020-05-05,-1.4706000000000001
2020-05-06,-2.9851
2020-05-07,0.7692
2020-05-08,1.9083999999999999
2020-05-11,2.6217
2020-05-12,-1.2555
2020-05-13,-0.207
2020-05-14,0.7407
2020-05-15,0.0
2020-05-18,1.6103
2020-05-19,6.3898
2020-05-20,4.7477
2020-05-21,0.0
2020-05-22,-1.9481000000000002
2020-05-26,5.9603
2020-05-27,6.25
2020-05-28,-3.5294
2020-05-29,-1.5183
2020-06-01,-3.7211
2020-06-02,1.6077
2020-06-03,-0.5
2020-06-04,4.3191
2020-06-05,4.9024
2020-06-08,17.9958
2020-06-09,-28.5714
2020-06-10,8.2759
2020-06-11,-7.0064
2020-06-12,1.3699
2020-06-15,4.7297
2020-06-16,-1.9355
2020-06-17,-3.2895
2020-06-18,-1.3605
2020-06-19,1.3793
2020-06-22,-2.7211
2020-06-23,0.6993
2020-06-24,-2.7778
2020-06-25,5.7143
2020-06-26,-6.0811
2020-06-29,-0.7194
2020-06-30,0.7246
2020-07-01,2.1583
2020-07-02,-2.8169
2020-07-06,3.6231999999999998
2020-07-07,5.5944
2020-07-08,-0.6623
2020-07-09,-1.3333
2020-07-10,-4.0541
2020-07-13,-2.8169
2020-07-14,-3.6231999999999998
2020-07-15,2.2556
2020-07-16,2.9412000000000003
2020-07-17,1.4285999999999999
2020-07-20,-0.007
2020-07-21,2.8241
2020-07-22,-4.1096
2020-07-23,1.7856999999999998
2020-07-24,-1.7544
2020-07-27,4.2857
2020-07-28,1.3699
2020-07-29,18.2432
2020-07-30,8.0
2020-07-31,-14.8148
