ticker,BGMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-18,-9.5455
2012-04-19,-5.1926
2012-04-20,2.2968
2012-04-23,-6.3903
2012-04-24,2.952
2012-04-25,6.8100000000000005
2012-04-26,0.0
2012-04-27,10.2349
2012-04-30,0.9132
2012-05-01,-16.8929
2012-05-02,-4.3557
2012-05-03,1.518
2012-05-04,-1.4953
2012-05-07,-1.518
2012-05-08,-8.2852
2012-05-09,-14.916
2012-05-10,0.4938
2012-05-11,-2.2113
2012-05-14,0.5025
2012-05-15,0.0
2012-05-16,-1.75
2012-05-17,-2.0356
2012-05-18,3.6364
2012-05-21,0.2506
2012-05-22,-0.5
2012-05-23,-0.5025
2012-05-24,5.0505
2012-05-25,3.3654
2012-05-29,3.0233
2012-05-30,12.6411
2012-05-31,7.2144
2012-06-01,-6.1682
2012-06-04,-3.7849
2012-06-05,-0.207
2012-06-06,19.2946
2012-06-07,-4.8696
2012-06-08,3.4735
2012-06-11,0.53
2012-06-12,4.2179
2012-06-13,-2.6981
2012-06-14,3.9861
2012-06-15,8.3333
2012-06-18,6.1538
2012-06-19,0.5797
2012-06-20,0.8646
2012-06-21,-1.4285999999999999
2012-06-22,0.2899
2012-06-25,-1.0116
2012-06-26,1.4599
2012-06-27,0.1439
2012-06-28,-1.8678
2012-06-29,2.1962
2012-07-02,0.2865
2012-07-03,0.0
2012-07-05,-3.7143
2012-07-06,-1.0386
2012-07-09,-1.7991000000000001
2012-07-10,-2.7481
2012-07-11,6.1224
2012-07-12,1.3314
2012-07-13,2.1898
2012-07-16,-0.7143
2012-07-17,0.0
2012-07-18,0.7194
2012-07-19,-1.5714000000000001
2012-07-20,-2.3222
2012-07-23,1.0401
2012-07-24,-3.6765
2012-07-25,-5.6489
2012-07-26,1.9417
2012-07-27,8.6508
2012-07-30,-0.2191
2012-07-31,-2.1962
2012-08-01,-5.3892
2012-08-02,-0.7911
2012-08-03,5.4226
2012-08-06,4.0847
2012-08-07,0.8721
2012-08-08,-0.5764
2012-08-09,-5.942
2012-08-10,-3.8521
2012-08-13,-2.7244
2012-08-14,-3.6244
2012-08-15,1.7094
2012-08-16,-2.8571
2012-08-17,-4.6713000000000005
2012-08-20,-9.9819
2012-08-21,-2.0161
2012-08-22,-3.9095
2012-08-23,-8.137
2012-08-24,-4.8951
2012-08-27,-3.6765
2012-08-28,1.0178
2012-08-29,0.0
2012-08-30,-1.7631999999999999
2012-08-31,1.7949000000000002
2012-09-04,0.7557
2012-09-05,-0.75
2012-09-06,0.7557
2012-09-07,0.0
2012-09-10,0.0
2012-09-11,-2.25
2012-09-12,-2.8133
2012-09-13,-0.2632
2012-09-14,0.5277
2012-09-17,-1.8373
2012-09-18,-2.6738
2012-09-19,-1.0989
2012-09-20,1.6667
2012-09-21,-1.0929
2012-09-24,-1.6575
2012-09-25,-0.8427
2012-09-26,0.2833
2012-09-27,2.5423999999999998
2012-09-28,1.3774
2012-10-01,0.5435
2012-10-02,0.0
2012-10-03,-1.6216
2012-10-04,-0.8242
2012-10-05,-7.4792
2012-10-08,-3.8922
2012-10-09,-5.9190000000000005
2012-10-10,-2.649
2012-10-11,-0.3401
2012-10-12,0.3413
2012-10-15,2.3810000000000002
2012-10-16,3.3223
2012-10-17,-2.2508
2012-10-18,-2.9605
2012-10-19,-16.2712
2012-10-22,0.8097
2012-10-23,-4.8193
2012-10-24,-1.2658
2012-10-25,0.4274
2012-10-26,-0.4255
2012-10-31,-1.7094
2012-11-01,-7.3913
2012-11-02,-8.4507
2012-11-05,-5.1282
2012-11-06,-5.9459
2012-11-07,-9.1954
2012-11-08,-3.1646
2012-11-09,-3.268
2012-11-12,-6.0811
2012-11-13,-9.3525
2012-11-14,-8.7302
2012-11-15,0.8696
2012-11-16,-6.8966
2012-11-19,6.4815
2012-11-20,-1.7391
2012-11-21,11.5044
2012-11-23,23.0159
2012-11-26,-0.6452
2012-11-27,-8.4416
2012-11-28,0.0
2012-11-29,4.9645
2012-11-30,-2.027
2012-12-03,-3.4483
2012-12-04,6.4286
2012-12-05,-4.698
2012-12-06,1.4085
2012-12-07,-2.0833
2012-12-10,-5.6738
2012-12-11,154.1353
2012-12-12,-6.213
2012-12-13,-8.8328
2012-12-14,-2.0761
2012-12-17,2.1201
2012-12-18,-5.1903
2012-12-19,-6.5693
2012-12-20,0.0
2012-12-21,0.0
2012-12-24,-1.9531
2012-12-26,-7.1713000000000005
2012-12-27,-4.721
2012-12-28,-1.3514
2012-12-31,5.4795
2013-01-02,0.4329
2013-01-03,18.5345
2013-01-04,-4.3636
2013-01-07,0.7605
2013-01-08,-4.5283
2013-01-09,-1.1858
2013-01-10,-3.6
2013-01-11,-3.3195
2013-01-14,-0.4292
2013-01-15,-2.1552
2013-01-16,-0.8811
2013-01-17,-2.2222
2013-01-18,3.1818
2013-01-22,0.0
2013-01-23,1.3216
2013-01-24,7.8261
2013-01-25,-14.9194
2013-01-28,-0.4739
2013-01-29,-0.9524
2013-01-30,0.0
2013-01-31,-1.4423
2013-02-01,1.4634
2013-02-04,2.8846
2013-02-05,-0.9346
2013-02-06,-1.4151
2013-02-07,-2.3923
2013-02-08,0.0
2013-02-11,7.8431
2013-02-12,-1.8182
2013-02-13,-4.6296
