ticker,RNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-27,-0.3155
2015-10-28,4.7468
2015-10-29,-6.7472
2015-10-30,-0.108
2015-11-02,4.5946
2015-11-03,10.491
2015-11-04,3.695
2015-11-05,-4.24
2015-11-06,-3.6269
2015-11-09,2.4438
2015-11-10,-1.0019
2015-11-11,0.9157
2015-11-12,1.3849
2015-11-13,-1.7899
2015-11-16,2.446
2015-11-17,4.9625
2015-11-18,1.0259
2015-11-19,-0.6181
2015-11-20,-0.0444
2015-11-23,0.4
2015-11-24,1.1952
2015-11-25,0.2187
2015-11-27,0.5238
2015-11-30,-0.5211
2015-12-01,-1.1785
2015-12-02,2.4735
2015-12-03,-0.9052
2015-12-04,3.5233
2015-12-07,-1.2185
2015-12-08,3.3177
2015-12-09,2.7995
2015-12-10,-0.4806
2015-12-11,-1.4085
2015-12-14,-0.6939
2015-12-15,0.9042
2015-12-16,3.7475
2015-12-17,-7.0671
2015-12-18,-1.0139
2015-12-21,3.4571
2015-12-22,-0.3713
2015-12-23,-0.0414
2015-12-24,0.6628
2015-12-28,-1.2757
2015-12-29,1.4173
2015-12-30,-1.3975
2015-12-31,-1.709
2016-01-04,-3.4775
2016-01-05,-2.4165
2016-01-06,-1.9361000000000002
2016-01-07,-3.3517
2016-01-08,0.19
2016-01-11,-0.6164
2016-01-12,6.4408
2016-01-13,-5.8718
2016-01-14,1.4762
2016-01-15,-1.8300999999999998
2016-01-19,4.1109
2016-01-20,-1.1478
2016-01-21,0.418
2016-01-22,8.0481
2016-01-25,-4.4521
2016-01-26,2.0609
2016-01-27,-4.4776
2016-01-28,-3.4467
2016-01-29,3.8552999999999997
2016-02-01,2.5206
2016-02-02,-2.9504
2016-02-03,-1.7503
2016-02-04,0.0469
2016-02-05,-10.2624
2016-02-08,-9.8695
2016-02-09,-7.416
2016-02-10,4.6308
2016-02-11,-0.9569
2016-02-12,-1.5097
2016-02-16,6.9283
2016-02-17,3.6124
2016-02-18,-0.1107
2016-02-19,1.4404
2016-02-22,2.3484
2016-02-23,-6.2967
2016-02-24,1.9362
2016-02-25,0.5028
2016-02-26,1.8899
2016-02-29,0.9274
2016-03-01,1.8378
2016-03-02,1.1146
2016-03-03,0.0
2016-03-04,0.105
2016-03-07,0.3146
2016-03-08,-4.6001
2016-03-09,-11.5616
2016-03-10,-6.3817
2016-03-11,5.3607
2016-03-14,-1.3819
2016-03-15,-1.6561
2016-03-16,-1.6192
2016-03-17,2.1066
2016-03-18,2.45
2016-03-21,-5.0975
2016-03-22,-0.2653
2016-03-23,-0.266
2016-03-24,-3.0
2016-03-28,-1.1684
2016-03-29,5.0765
2016-03-30,0.728
2016-03-31,3.4823
2016-04-01,1.2063
2016-04-04,4.6424
2016-04-05,0.1199
2016-04-06,0.8982
2016-04-07,-0.8309
2016-04-08,0.7181
2016-04-11,-4.3969
2016-04-12,0.808
2016-04-13,4.1924
2016-04-14,5.3846
2016-04-15,-1.4599
2016-04-18,3.7037
2016-04-19,-0.8242
2016-04-20,-0.9418
2016-04-21,3.0201
2016-04-22,2.2258
2016-04-25,-3.505
2016-04-26,2.0362999999999998
2016-04-27,1.5642
2016-04-28,5.47
2016-04-29,-3.9275
2016-05-02,2.2537
2016-05-03,-3.7417
2016-05-04,-2.4494
2016-05-05,0.0546
2016-05-06,-0.6001
2016-05-09,2.1405
2016-05-10,0.0537
2016-05-11,-0.3759
2016-05-12,-0.5391
2016-05-13,0.0
2016-05-16,1.1924
2016-05-17,-1.9282
2016-05-18,4.0415
2016-05-19,-1.8898000000000001
2016-05-20,1.3376000000000001
2016-05-23,-2.2175
2016-05-24,0.324
2016-05-25,3.2293
2016-05-26,2.2941
2016-05-27,0.7645
2016-05-31,-0.1517
2016-06-01,0.4053
2016-06-02,1.5641
2016-06-03,-1.391
2016-06-06,1.8136
2016-06-07,2.3256
2016-06-08,0.5319
2016-06-09,-1.0101
2016-06-10,-1.069
2016-06-13,-0.0491
2016-06-14,1.5725
2016-06-15,0.7257
2016-06-16,-0.1441
2016-06-17,-1.0101
2016-06-20,0.3887
2016-06-21,-0.484
2016-06-22,-1.5078
2016-06-23,2.963
2016-06-24,-3.9808
2016-06-27,-4.046
2016-06-28,0.9891
2016-06-29,1.4948000000000001
2016-06-30,0.1524
2016-07-01,-0.2535
2016-07-05,-1.5252
2016-07-06,0.6711
2016-07-07,4.5128
2016-07-08,6.1825
2016-07-11,0.5083
2016-07-12,0.7356
2016-07-13,0.4108
2016-07-14,0.2727
2016-07-15,0.272
2016-07-18,-0.1808
2016-07-19,0.1812
2016-07-20,1.6275
2016-07-21,-1.7349
2016-07-22,2.8067
2016-07-25,0.1761
2016-07-26,0.3956
2016-07-27,0.5254
2016-07-28,0.9582
2016-07-29,-0.6471
2016-08-01,0.7382
2016-08-02,-1.3793
2016-08-03,1.486
2016-08-04,3.9621
2016-08-05,-0.4971
2016-08-08,-3.7052
2016-08-09,0.3026
2016-08-10,0.431
2016-08-11,0.9871
2016-08-12,-1.4025
2016-08-15,0.7759
2016-08-16,-2.3097
2016-08-17,0.394
2016-08-18,0.1308
2016-08-19,0.5662
2016-08-22,-0.8229
2016-08-23,0.0873
2016-08-24,-2.6614
2016-08-25,0.5827
2016-08-26,-0.3565
2016-08-29,-0.3131
2016-08-30,-0.2243
2016-08-31,-1.304
2016-09-01,0.9112
2016-09-02,1.4898
2016-09-06,-0.5338
2016-09-07,0.0447
2016-09-08,-0.1341
2016-09-09,-3.0886
2016-09-12,1.6166
2016-09-13,-0.1818
2016-09-14,1.2295
2016-09-15,3.6887
2016-09-16,1.3449
2016-09-19,0.0
2016-09-20,-1.1558
2016-09-21,2.2087
2016-09-22,0.9322
2016-09-23,-0.6717
2016-09-26,-0.634
2016-09-27,0.9783
2016-09-28,0.2106
2016-09-29,-0.9668
2016-09-30,0.4244
2016-10-03,1.0144
2016-10-04,1.046
2016-10-05,-4.1822
2016-10-06,-1.0372
2016-10-07,-1.7904
2016-10-10,-0.578
2016-10-11,-2.2361
2016-10-12,1.3266
2016-10-13,-2.8442
2016-10-14,0.0
2016-10-17,-1.0223
2016-10-18,1.6432
2016-10-19,1.6166
2016-10-20,0.6818
2016-10-21,0.0
2016-10-24,4.2889
2016-10-25,0.2165
2016-10-26,-6.9114
2016-10-27,-4.1763
2016-10-28,-2.1792
2016-10-31,2.4752
2016-11-01,-2.8986
2016-11-02,-0.7463
2016-11-03,-0.7519
2016-11-04,1.2626
2016-11-07,2.7431
2016-11-08,0.9709
2016-11-09,1.2019
2016-11-10,3.0879
2016-11-11,3.9171
2016-11-14,0.8869
2016-11-15,2.4176
2016-11-16,2.3605
2016-11-17,-3.7736
2016-11-18,-0.8715
2016-11-21,-0.2198
2016-11-22,-2.6432
2016-11-23,3.3937
2016-11-25,0.6565
2016-11-28,-4.1304
2016-11-29,-4.9887
2016-11-30,2.864
2016-12-01,-2.0882
2016-12-02,-2.6066000000000003
2016-12-05,6.326
2016-12-06,-0.6865
2016-12-07,3.6866
2016-12-08,3.7778
2016-12-09,-2.5696
2016-12-12,0.4396
2016-12-13,-1.5316999999999998
2016-12-14,-2.4444
2016-12-15,0.2278
2016-12-16,-1.5909
2016-12-19,0.6928
2016-12-20,-0.6881
2016-12-21,-2.5404
2016-12-22,-1.1848
2016-12-23,1.6787
2016-12-27,1.8868
2016-12-28,-3.2407
2016-12-29,0.2392
2016-12-30,-1.6705999999999999
2017-01-03,3.6408
2017-01-04,0.9368
2017-01-05,-1.3921000000000001
2017-01-06,2.5882
2017-01-09,-0.6881
2017-01-10,0.0
2017-01-11,1.3857
2017-01-12,0.2278
2017-01-13,2.2727
2017-01-17,-3.5556
2017-01-18,0.6912
2017-01-19,0.4577
2017-01-20,4.1002
2017-01-23,2.8446
2017-01-24,0.6383
2017-01-25,0.0
2017-01-26,-1.6913
2017-01-27,4.7312
2017-01-30,-4.1068
2017-01-31,0.0
2017-02-01,-1.4989
2017-02-02,1.3043
2017-02-03,-0.4292
2017-02-06,-2.5862
2017-02-07,0.0
2017-02-08,-1.3274
2017-02-09,2.0179
2017-02-10,3.2967
2017-02-13,1.2766
2017-02-14,0.4202
2017-02-15,5.2301
2017-02-16,-2.5845000000000002
2017-02-17,2.8571
2017-02-21,1.7856999999999998
2017-02-22,0.5848
2017-02-23,0.3876
2017-02-24,1.3514
2017-02-27,4.0
2017-02-28,-2.1978
2017-03-01,0.1873
2017-03-02,-0.7477
2017-03-03,0.0
2017-03-06,-0.1883
2017-03-07,-0.3774
2017-03-08,0.0
2017-03-09,1.3258
2017-03-10,-0.7477
2017-03-13,0.1883
2017-03-14,-0.9398
2017-03-15,2.8463000000000003
2017-03-16,1.476
2017-03-17,-0.1818
2017-03-20,1.6393
2017-03-21,-3.7634
2017-03-22,-0.1862
2017-03-23,0.5597
2017-03-24,0.0
2017-03-27,0.0
2017-03-28,1.1132
2017-03-29,1.4679
2017-03-30,0.0
2017-03-31,2.3508
2017-04-03,-1.9435
2017-04-04,-0.1802
2017-04-05,-1.444
2017-04-06,0.0
2017-04-07,0.1832
2017-04-10,1.2797
2017-04-11,3.6101
2017-04-12,-0.3484
2017-04-13,-0.1748
2017-04-17,1.5762
2017-04-18,-0.5172
2017-04-19,2.0797
2017-04-20,0.5093
2017-04-21,-0.8446
2017-04-24,2.8961
2017-04-25,0.9934
2017-04-26,-0.1639
2017-04-27,5.2545
2017-04-28,-0.312
2017-05-01,1.7214
2017-05-02,0.6154
2017-05-03,0.1529
2017-05-04,0.6107
2017-05-05,-0.1517
2017-05-08,-3.4954
2017-05-09,0.315
2017-05-10,-0.157
2017-05-11,1.8868
2017-05-12,-0.463
2017-05-15,2.4806
2017-05-16,1.3616
2017-05-17,-4.3284
2017-05-18,1.5601
2017-05-19,3.8402
2017-05-22,1.9231
2017-05-23,-0.5806
2017-05-24,-0.292
2017-05-25,1.4641
2017-05-26,-1.8759000000000001
2017-05-30,0.5882
2017-05-31,-0.2924
2017-06-01,1.7595
2017-06-02,1.7290999999999999
2017-06-05,1.983
2017-06-06,1.9444
2017-06-07,1.3624
2017-06-08,2.957
2017-06-09,-7.5718
2017-06-12,-0.2825
2017-06-13,1.2748
2017-06-14,-0.4196
2017-06-15,-0.7022
2017-06-16,0.4243
2017-06-19,3.0986
2017-06-20,-1.0929
2017-06-21,1.7955999999999999
2017-06-22,1.8996
2017-06-23,2.9294000000000002
2017-06-26,-2.5873
2017-06-27,-2.2576
2017-06-28,1.9022000000000001
2017-06-29,-3.0667
2017-06-30,0.5502
2017-07-03,-2.7359999999999998
2017-07-05,1.9691
2017-07-06,-1.7931
2017-07-07,3.9326
2017-07-10,-1.3514
2017-07-11,-0.5479
2017-07-12,2.4793
2017-07-13,0.0
2017-07-14,-2.1505
2017-07-17,-1.5110000000000001
2017-07-18,-0.1395
2017-07-19,0.5587
2017-07-20,-3.3333
2017-07-21,0.431
2017-07-24,1.1445
2017-07-25,0.8487
2017-07-26,0.8415
2017-07-27,-0.4172
2017-07-28,-1.8155999999999999
2017-07-31,-0.9957
2017-08-01,2.0115
2017-08-02,-1.6901000000000002
2017-08-03,-1.0029
2017-08-04,1.4472
2017-08-07,0.1427
2017-08-08,2.2792
2017-08-09,8.078
2017-08-10,-2.8350999999999997
2017-08-11,1.5915
2017-08-14,2.7415000000000003
2017-08-15,-0.3812
2017-08-16,0.5102
2017-08-17,-3.1726
2017-08-18,0.2621
2017-08-21,-0.2614
2017-08-22,0.5242
2017-08-23,1.6949
2017-08-24,0.2564
2017-08-25,-3.1969
2017-08-28,2.1136
2017-08-29,2.7167
2017-08-30,1.5112999999999999
2017-08-31,5.0868
2017-09-01,0.0
2017-09-05,0.2361
2017-09-06,-1.649
2017-09-07,2.1557
2017-09-08,-0.7034
2017-09-11,0.4723
2017-09-12,0.0
2017-09-13,-1.8801
2017-09-14,-0.479
2017-09-15,0.0
2017-09-18,-0.6017
2017-09-19,-0.3632
2017-09-20,-1.2151
2017-09-21,-2.091
2017-09-22,0.1256
2017-09-25,-1.6311
2017-09-26,-0.5102
2017-09-27,3.5897
2017-09-28,-0.6188
2017-09-29,3.9851
2017-10-02,5.3892
2017-10-03,0.4545
2017-10-04,-0.6787
2017-10-05,0.0
2017-10-06,2.0501
2017-10-09,-0.8929
2017-10-10,-2.1396
2017-10-11,-0.1151
2017-10-12,0.0
2017-10-13,0.9217
2017-10-16,-2.3973
2017-10-17,-0.7018
2017-10-18,-2.5913
2017-10-19,-0.9674
2017-10-20,3.9072
2017-10-23,-1.7626
2017-10-24,-0.7177
2017-10-25,-0.9639
2017-10-26,0.8516
2017-10-27,2.0507
2017-10-30,-1.7730000000000001
2017-10-31,1.444
2017-11-01,0.5931
2017-11-02,1.6509
2017-11-03,2.2042
2017-11-06,0.454
2017-11-07,0.113
2017-11-08,-1.4673
2017-11-09,8.9347
2017-11-10,-2.9443
2017-11-13,-0.325
2017-11-14,2.1739
2017-11-15,-1.2766
2017-11-16,1.7241
2017-11-17,1.6949
2017-11-20,1.3542
2017-11-21,0.1028
2017-11-22,-0.8214
2017-11-24,0.8282
2017-11-27,-0.924
2017-11-28,2.9016
2017-11-29,-4.3303
2017-11-30,-0.7368
2017-12-01,-1.9088
2017-12-04,-4.8649000000000004
2017-12-05,0.0
2017-12-06,3.0682
2017-12-07,6.2844999999999995
2017-12-08,0.2075
2017-12-11,-1.5528
2017-12-12,-1.9979
2017-12-13,3.2189
2017-12-14,-1.1435
2017-12-15,2.9443
2017-12-18,0.8172
2017-12-19,-3.3435
2017-12-20,1.0482
2017-12-21,-0.5187
2017-12-22,-0.5214
2017-12-26,2.4109
2017-12-27,-1.1259000000000001
2017-12-28,0.207
2017-12-29,0.0
2018-01-02,-1.2397
2018-01-03,0.4184
2018-01-04,-1.4583
2018-01-05,0.5285
2018-01-08,2.3134
2018-01-09,0.3083
2018-01-10,1.0246
2018-01-11,4.6653
