ticker,INTEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-17,-1.4706000000000001
2015-07-20,-4.822
2015-07-21,0.7238
2015-07-22,-2.9939999999999998
2015-07-23,-3.4568
2015-07-24,1.1509
2015-07-27,-2.1492
2015-07-28,-0.5168
2015-07-29,-0.7792
2015-07-30,26.4398
2015-07-31,-1.5528
2015-08-03,16.0883
2015-08-04,-9.2391
2015-08-05,1.3972
2015-08-06,-1.9685000000000001
2015-08-07,-0.1004
2015-08-10,1.1055
2015-08-11,-0.2982
2015-08-12,-0.1994
2015-08-13,-4.0959
2015-08-14,2.3958
2015-08-17,2.9502
2015-08-18,0.1976
2015-08-19,-0.9862
2015-08-20,-0.1992
2015-08-21,-0.2994
2015-08-24,-5.3053
2015-08-25,-4.8626000000000005
2015-08-26,0.5556
2015-08-27,2.6519
2015-08-28,3.3369
2015-08-31,0.7292
2015-09-01,-0.8273
2015-09-02,0.5214
2015-09-03,-0.2075
2015-09-04,-2.2869
2015-09-08,5.9574
2015-09-09,-3.6145
2015-09-10,-1.4583
2015-09-11,0.2114
2015-09-14,-2.2152
2015-09-15,5.5016
2015-09-16,-2.1471999999999998
2015-09-17,-1.8809
2015-09-18,-4.8988
2015-09-21,-6.271
2015-09-22,-5.4958
2015-09-23,-3.9191000000000003
2015-09-24,0.5263
2015-09-25,0.2618
2015-09-28,-7.5718
2015-09-29,-4.9435
2015-09-30,-4.4577
2015-10-01,-0.1555
2015-10-02,2.3364
2015-10-05,5.0228
2015-10-06,6.9565
2015-10-07,-2.168
2015-10-08,2.0776
2015-10-09,-1.4925
2015-10-12,-1.6529
2015-10-13,-2.6611000000000002
2015-10-14,-4.1727
2015-10-15,-4.2042
2015-10-16,-2.1944
2015-10-19,2.5641
2015-10-20,-6.4063
2015-10-21,-2.0033
2015-10-22,3.2368
2015-10-23,2.3102
2015-10-26,-2.4194
2015-10-27,-0.9917
2015-10-28,3.5058
2015-10-29,7.9032
2015-10-30,-1.0463
2015-11-02,-6.1934
2015-11-03,2.4154999999999998
2015-11-04,-0.4717
2015-11-05,-1.5798
2015-11-06,2.4077
2015-11-09,-1.4107
2015-11-10,-0.9539
2015-11-11,0.321
2015-11-12,-0.96
2015-11-13,-1.7771
2015-11-16,2.3026
2015-11-17,0.4823
2015-11-18,1.92
2015-11-19,0.157
2015-11-20,-4.0752
2015-11-23,-5.0654
2015-11-24,1.3769
2015-11-25,-5.9423
2015-11-27,-6.6787
2015-11-30,-10.058
2015-12-01,-3.6559
2015-12-02,-5.5804
2015-12-03,-7.5649999999999995
2015-12-04,4.6036
2015-12-07,-0.7335
2015-12-08,-5.665
2015-12-09,5.7440999999999995
2015-12-10,1.9752999999999998
2015-12-11,-3.3898
2015-12-14,-7.5188
2015-12-15,2.168
2015-12-16,0.5305
2015-12-17,0.0
2015-12-18,6.8602
2015-12-21,1.4815
2015-12-22,2.9196999999999997
2015-12-23,3.3097
2015-12-24,2.2883
2015-12-28,-2.4609
2015-12-29,0.2294
2015-12-30,-5.9497
2015-12-31,1.2165
2016-01-04,1.9231
2016-01-05,-2.1226
2016-01-06,-3.1325
2016-01-07,-12.1891
2016-01-08,-0.2833
2016-01-11,-1.7045
2016-01-12,-3.4682
2016-01-13,-9.5808
2016-01-14,2.9801
2016-01-15,-3.2154
2016-01-19,1.3289
2016-01-20,5.5738
2016-01-21,-2.795
2016-01-22,-0.639
2016-01-25,0.0
2016-01-26,5.7878
2016-01-27,-4.2553
2016-01-28,5.0794
2016-01-29,0.9063
2016-02-01,-5.3892
2016-02-02,-4.4304
2016-02-03,8.2781
2016-02-04,16.208
2016-02-05,-10.526299999999999
2016-02-08,0.2941
2016-02-09,-11.1437
2016-02-10,2.3102
2016-02-11,-6.129
2016-02-12,4.4674
2016-02-16,-0.3289
2016-02-17,5.6106
2016-02-18,2.5
2016-02-19,-8.2317
2016-02-22,-9.6346
2016-02-23,-9.1912
2016-02-24,-12.1457
2016-02-25,-1.3825
2016-02-26,-21.028
2016-02-29,1.7751000000000001
2016-03-01,-12.7907
2016-03-02,25.3333
2016-03-03,0.5319
2016-03-04,5.291
