ticker,JNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-16,-4.321
2017-06-19,8.0645
2017-06-20,-2.209
2017-06-21,-3.9072
2017-06-22,7.8145
2017-06-23,2.7696
2017-06-26,-2.5803000000000003
2017-06-27,-6.2978
2017-06-28,-1.696
2017-06-29,-6.5176
2017-06-30,-4.1012
2017-07-03,1.7819
2017-07-05,5.5322
2017-07-06,-5.4413
2017-07-07,0.5614
2017-07-10,-3.1403
2017-07-11,-0.4323
2017-07-12,-3.1838
2017-07-13,3.5874
2017-07-14,-0.8658
2017-07-17,-3.0568
2017-07-18,-1.8769
2017-07-19,1.7598
2017-07-20,0.7519
2017-07-21,0.1493
2017-07-24,1.1177
2017-07-25,-2.1371
2017-07-26,-2.4096
2017-07-27,0.3858
2017-07-28,-0.7686
2017-07-31,0.0
2017-08-01,-0.9295
2017-08-02,-3.1274
2017-08-03,-0.3228
2017-08-04,1.0526
2017-08-07,0.4006
2017-08-08,-4.9481
2017-08-09,-3.6944
2017-08-10,-2.6155
2017-08-11,4.8344000000000005
2017-08-14,6.0632
2017-08-15,6.0386
2017-08-16,7.3652
2017-08-17,-5.587
2017-08-18,6.9663
2017-08-21,0.4202
2017-08-22,4.463
2017-08-23,1.0013
2017-08-24,-1.388
2017-08-25,-0.6702
2017-08-28,4.1835
2017-08-29,0.9715
2017-08-30,3.2072
2017-08-31,5.5935
2017-09-01,-0.5886
2017-09-05,-6.9272
2017-09-06,-1.8448
2017-09-07,-0.7129
2017-09-08,-1.1097
2017-09-11,-1.5182
2017-09-12,-1.1394
2017-09-13,1.9661
2017-09-14,0.9973
2017-09-15,0.6583
2017-09-18,0.7194
2017-09-19,0.6494
2017-09-20,-3.6129
2017-09-21,-1.1379
2017-09-22,1.3541
2017-09-25,-1.002
2017-09-26,-1.1471
2017-09-27,0.7509
2017-09-28,4.2005
2017-09-29,1.3004
2017-10-02,8.9217
2017-10-03,-0.9428
2017-10-04,4.997
2017-10-05,0.9632
2017-10-06,-3.3109
2017-10-09,-3.3662
2017-10-10,-1.7417
2017-10-11,-3.1785
2017-10-12,-0.1263
2017-10-13,-2.7180999999999997
2017-10-16,-0.13
2017-10-17,-1.4314
2017-10-18,-2.1122
2017-10-19,-1.5509
2017-10-20,1.2328999999999999
2017-10-23,0.6766
2017-10-24,-8.7366
2017-10-25,0.2209
2017-10-26,0.5878
2017-10-27,1.8262
2017-10-30,2.1521
2017-10-31,-1.6854
2017-11-01,2.3571
2017-11-02,1.5352000000000001
2017-11-03,3.3677
2017-11-06,-0.133
2017-11-07,-2.3302
2017-11-08,-1.4997
2017-11-09,0.5536
