ticker,CAFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-14,9.7561
2006-02-15,-15.5556
2006-02-17,-15.7895
2006-02-22,-6.25
2006-02-23,0.0
2006-02-24,0.0
2006-02-27,0.0
2006-02-28,0.0
2006-03-01,0.0
2006-03-09,6.6667
2006-03-14,0.0
2006-03-15,0.0
2006-03-16,0.0
2006-03-17,0.0
2006-03-23,-6.25
2006-03-24,30.0
2006-03-27,0.0
2006-03-28,-23.0769
2006-03-29,30.0
2006-03-30,-23.0769
2006-04-05,0.0
2006-04-07,0.0
2006-04-13,0.0
2006-04-18,0.0
2006-04-20,-6.6667
2006-04-24,-7.1429
2006-04-26,-23.0769
2006-04-27,50.0
2006-05-01,16.6667
2006-05-02,-14.2857
2006-05-05,86.6667
2006-05-08,7.1429
2006-05-09,-1.6667
2006-05-10,23.7288
2006-05-11,-24.6575
2006-05-12,7.2727
2006-05-15,-16.9492
2006-05-16,-24.4898
2006-05-17,13.5135
2006-05-18,7.1429
2006-05-23,0.0
2006-05-24,-6.6667
2006-05-25,7.1429
2006-05-26,-13.3333
2006-05-30,-7.6923
2006-06-01,-2.7778
2006-06-02,-5.7143
2006-06-05,0.0
2006-06-06,-6.0606
2006-06-07,-3.2258
2006-06-08,0.0
2006-06-09,0.0
2006-06-12,-10.0
2006-06-13,-22.2222
2006-06-14,0.0
2006-06-16,0.0
2006-06-19,4.7619
2006-06-20,-9.0909
2006-06-21,5.0
2006-06-23,4.7619
2006-06-28,-13.6364
2006-06-29,-10.526299999999999
2006-06-30,35.2941
2006-07-03,-17.3913
2006-07-05,0.0
2006-07-10,-5.2632
2006-07-14,-16.6667
2006-07-17,0.0
2006-07-18,-6.6667
2006-07-21,7.1429
2006-07-24,6.6667
2006-07-25,-6.25
2006-07-26,0.0
2006-07-27,0.0
2006-07-28,-6.6667
2006-08-01,10.7143
2006-08-07,3.2258
2006-08-09,15.625
2006-08-11,5.4054
2006-08-18,2.5641
2006-08-21,-20.0
2006-08-28,12.5
2006-08-29,-16.6667
2006-09-01,26.6667
2006-09-07,-21.0526
2006-09-19,-13.3333
2006-09-21,0.0
2006-09-22,0.0
2006-09-26,-7.6923
2006-09-27,0.0
2006-09-28,0.0
2006-10-02,-16.6667
2006-10-04,0.0
2006-10-05,0.0
2006-10-06,20.0
2006-10-09,0.0
2006-10-11,-16.6667
2006-10-13,0.0
2006-10-16,-6.0
2006-10-18,27.6596
2006-10-20,0.0
2006-10-23,-2.5
2006-10-24,11.1111
2006-11-01,-46.1538
2006-11-02,78.5714
2006-11-03,0.0
2006-11-06,-4.0
2006-11-08,-4.1667
2006-11-09,56.5217
2006-11-16,-30.5556
2006-11-17,24.0
2006-11-20,0.0
2006-11-22,-3.2258
2006-11-24,13.3333
2006-11-30,-11.7647
2006-12-22,-3.3333
2006-12-28,-13.7931
2006-12-29,4.0
2007-01-10,0.0
2007-01-12,15.0
2007-01-24,0.0
2007-02-01,13.7124
