ticker,NTUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-19,-0.5464
2004-08-20,-1.0989
2004-08-23,-1.2963
2004-08-24,1.3133
2004-08-25,0.0
2004-08-26,1.8519
2004-08-27,-2.5455
2004-08-30,2.6119
2004-08-31,7.0909
2004-09-01,-5.4329
2004-09-02,1.9748999999999999
2004-09-03,3.3451
2004-09-07,-2.7257
2004-09-08,7.3555
2004-09-09,5.2202
2004-09-10,-0.155
2004-09-13,-0.9317
2004-09-14,5.6426
2004-09-15,-1.9436
2004-09-16,-2.1032
2004-09-17,0.3091
2004-09-20,-1.5408
2004-09-21,3.1299
2004-09-22,-2.1244
2004-09-23,-0.155
2004-09-24,-1.5528
2004-09-27,-0.1577
2004-09-28,-2.0537
2004-09-29,13.7097
2004-09-30,-1.7021
2004-10-01,-0.4329
2004-10-04,-1.4493
2004-10-05,4.4118
2004-10-06,-1.1268
2004-10-07,-0.4274
2004-10-08,0.1431
2004-10-11,0.8571
2004-10-12,4.5326
2004-10-13,5.4201
2004-10-14,-3.6118
2004-10-15,-3.1871
2004-10-18,3.719
2004-10-19,-1.5936
2004-10-20,-2.0243
2004-10-21,1.9284
2004-10-22,0.0
2004-10-25,-1.8919000000000001
2004-10-26,-1.6529
2004-10-27,0.5602
2004-10-28,2.9248
2004-10-29,-0.406
2004-11-01,-2.5815
2004-11-02,1.1158
2004-11-03,3.1724
2004-11-04,-6.8182
2004-11-05,-1.5782
2004-11-08,0.4227
2004-11-09,1.6113
2004-11-10,1.4
2004-11-11,-0.3945
2004-11-12,-0.8487
2004-11-15,-0.428
2004-11-16,0.4298
2004-11-17,-0.5706
2004-11-18,0.5739
2004-11-19,-2.8531
2004-11-22,5.1395
2004-11-23,1.1173
2004-11-24,0.1381
2004-11-26,0.2759
2004-11-29,-2.0633
2004-11-30,1.6854
2004-12-01,4.558
2004-12-02,6.8692
2004-12-03,1.8540999999999999
2004-12-06,-1.2136
2004-12-07,-1.3514
2004-12-08,1.8679999999999999
2004-12-09,-2.445
2004-12-10,1.5163
2004-12-13,1.5924
2004-12-14,-5.2248
2004-12-15,1.6667
2004-12-16,-0.2522
2004-12-17,1.5171000000000001
2004-12-20,-1.6189
2004-12-21,-0.1266
2004-12-22,0.7605
2004-12-23,-0.7547
2004-12-27,0.507
2004-12-28,0.7566
2004-12-29,0.2503
2004-12-30,-0.4994
2004-12-31,0.3764
2005-01-03,-5.1125
2005-01-04,-1.3305
2005-01-05,-1.7356
2005-01-06,-0.2717
2005-01-07,-1.0899
2005-01-10,-1.1019
2005-01-11,-3.3426
2005-01-12,1.3977
2005-01-13,-2.3731999999999998
2005-01-14,-1.0189
2005-01-18,4.1176
2005-01-19,-1.8362
2005-01-20,1.4388
2005-01-21,0.0
2005-01-24,1.5603
2005-01-25,3.6313
2005-01-26,0.4043
2005-01-27,-1.3423
2005-01-28,-1.3605
2005-01-31,-0.1379
2005-02-01,-1.5192999999999999
2005-02-02,0.2805
2005-02-03,-2.7972
2005-02-04,0.2878
2005-02-07,0.2869
2005-02-08,2.99
2005-02-09,1.1252
2005-02-10,1.5110000000000001
2005-02-11,0.5413
2005-02-14,-0.5384
2005-02-15,-0.9472
2005-02-16,0.8197
2005-02-17,-0.271
2005-02-18,0.4076
2005-02-22,-0.6766
2005-02-23,-1.6349
2005-02-24,9.0028
2005-02-25,-0.8895
2005-02-28,0.4359
2005-03-01,1.4807000000000001
2005-03-02,2.8931
2005-03-03,4.2787
