ticker,PTBTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-16,-2.6975
2006-08-17,5.9406
2006-08-18,3.1776
2006-08-21,2.3551
2006-08-22,0.708
2006-08-23,0.3515
2006-08-24,-0.3503
2006-08-25,-6.8541
2006-08-28,-0.7547
2006-08-29,0.1901
2006-08-30,2.8463000000000003
2006-08-31,1.476
2006-09-01,3.2727
2006-09-05,-0.1761
2006-09-06,-3.351
2006-09-07,-3.6496
2006-09-08,1.5152
2006-09-11,-0.7463
2006-09-12,-2.6316
2006-09-13,2.7027
2006-09-14,6.5789
2006-09-15,-0.8818
2006-09-18,0.0
2006-09-19,0.1779
2006-09-20,1.5986
2006-09-21,0.8741
2006-09-22,0.1733
2006-09-25,4.8443000000000005
2006-09-26,-2.1452
2006-09-27,1.5177
2006-09-28,-3.1561
2006-09-29,-1.3721999999999999
2006-10-02,-2.087
2006-10-03,-1.0657
2006-10-04,-3.9497
2006-10-05,0.9346
2006-10-06,-1.6667
2006-10-09,-2.2599
2006-10-10,0.1927
2006-10-11,3.0769
2006-10-12,-1.306
2006-10-13,3.9698
2006-10-16,0.0
2006-10-17,2.1818
2006-10-18,-3.9146
2006-10-19,0.3704
2006-10-20,-2.7675
2006-10-23,0.0
2006-10-24,-0.3795
2006-10-25,0.5714
2006-10-26,-0.1894
2006-10-27,-0.3795
2006-10-30,4.1905
2006-10-31,-0.3656
2006-11-01,-2.0183
2006-11-02,-1.6854
2006-11-03,-1.9048
2006-11-06,-0.9709
2006-11-07,0.3922
2006-11-08,0.1953
2006-11-09,-0.5848
2006-11-10,-4.5098
2006-11-13,3.0801
2006-11-14,-0.1992
2006-11-15,-2.5948
2006-11-16,0.4098
2006-11-17,2.8571
2006-11-20,0.9921
2006-11-21,-0.7859
2006-11-22,-2.5743
2006-11-24,1.2195
2006-11-27,-0.2008
2006-11-28,1.6097000000000001
2006-11-29,0.0
2006-11-30,-0.7921
2006-12-01,2.1955999999999998
2006-12-04,2.1484
2006-12-05,0.7648
2006-12-06,-0.5693
2006-12-07,-1.5267
2006-12-08,0.1938
2006-12-11,0.1934
2006-12-12,0.7722
2006-12-13,-0.5747
2006-12-14,0.9634
2006-12-15,0.5725
2006-12-18,0.0
2006-12-19,0.3795
2006-12-20,0.189
