ticker,BHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-04,-0.1665
2014-11-05,-0.2919
2014-11-06,0.5437
2014-11-07,-0.1664
2014-11-10,0.375
2014-11-11,0.0
2014-11-12,0.7057
2014-11-13,-1.4839
2014-11-14,0.2929
2014-11-17,-1.335
2014-11-18,1.3108
2014-11-19,-0.7095
2014-11-20,0.5885
2014-11-21,-0.1254
2014-11-24,0.4603
2014-11-25,-0.2499
2014-11-26,0.0418
2014-11-28,-0.7513
2014-12-01,-1.0934
2014-12-02,1.9558
2014-12-03,1.5430000000000001
2014-12-04,0.1232
2014-12-05,0.1231
2014-12-08,-0.7784
2014-12-09,3.014
2014-12-10,-1.2826
2014-12-11,-0.9744
2014-12-12,-1.312
2014-12-15,-0.5401
2014-12-16,-0.6683
2014-12-17,1.9765000000000001
2014-12-18,2.8041
2014-12-19,-0.0802
2014-12-22,0.7627
2014-12-23,0.757
2014-12-24,0.8304
2014-12-26,0.8627
2014-12-29,-0.9331
2014-12-30,0.157
2014-12-31,-0.3135
2015-01-02,-1.2972000000000001
2015-01-05,-1.1549
2015-01-06,-2.1354
2015-01-07,0.6587
2015-01-08,1.227
2015-01-09,-1.0909
2015-01-12,0.0408
2015-01-13,0.0817
2015-01-14,0.0816
2015-01-15,-0.4892
2015-01-16,1.7206000000000001
2015-01-20,-1.0068
2015-01-21,-1.8714
2015-01-22,0.4146
2015-01-23,0.3303
2015-01-26,0.7819
2015-01-27,-1.2658
2015-01-28,0.1654
2015-01-29,1.8993
2015-01-30,-1.8233000000000001
2015-02-02,2.1048
2015-02-03,-6.7501999999999995
2015-02-04,-2.4274
2015-02-05,0.5775
2015-02-06,0.4859
2015-02-09,-0.5275
2015-02-10,-0.0884
2015-02-11,-0.1327
2015-02-12,1.24
2015-02-13,0.1312
2015-02-17,0.4369
2015-02-18,0.261
2015-02-19,0.3905
2015-02-20,1.0804
2015-02-23,-0.513
2015-02-24,1.3752
2015-02-25,0.0
2015-02-26,0.3391
2015-02-27,-0.8872
2015-03-02,1.1509
2015-03-03,-0.1686
2015-03-04,0.0844
2015-03-05,-0.0844
2015-03-06,-1.393
2015-03-09,-0.0428
2015-03-10,-1.7559
2015-03-11,0.4359
2015-03-12,2.0833
2015-03-13,0.7228
2015-03-16,1.5617999999999999
2015-03-17,0.0831
2015-03-18,1.1213
