ticker,AIPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-19,-0.3422
2005-09-20,-3.0043
2005-09-21,-2.6549
2005-09-22,-1.6364
2005-09-23,2.8651
2005-09-26,-1.6173
2005-09-27,1.3699
2005-09-28,-0.0901
2005-09-29,0.0902
2005-09-30,-3.964
2005-10-03,0.7505
2005-10-04,-5.3073
2005-10-05,-8.8496
2005-10-06,-6.4725
2005-10-07,-8.8812
2005-10-10,-2.4051
2005-10-11,-22.3087
2005-10-12,3.005
2005-10-13,13.4522
2005-10-14,-7.8571
2005-10-17,2.3256
2005-10-18,1.6667
2005-10-19,2.2355
2005-10-20,-3.4985
2005-10-21,-0.3021
2005-10-24,2.1212
2005-10-25,1.9287999999999998
2005-10-26,-2.329
2005-10-27,-7.0045
2005-10-28,2.7244
2005-10-31,0.624
2005-11-01,-0.3101
2005-11-02,0.6221
2005-11-03,-2.1638
2005-11-04,1.4218
2005-11-07,-1.0903
2005-11-08,-1.7323
2005-11-09,0.1603
2005-11-10,-0.32
2005-11-11,-1.4445999999999999
2005-11-14,-0.4886
2005-11-15,-1.4729999999999999
2005-11-16,-1.6611
2005-11-17,1.5203
2005-11-18,0.6656
2005-11-21,1.9835
2005-11-22,5.1864
2005-11-23,-0.9245
2005-11-25,5.1322
2005-11-28,-0.5917
2005-11-29,-7.7381
2005-11-30,-0.1613
2005-12-01,2.1002
2005-12-02,1.4241
2005-12-05,0.468
2005-12-06,-1.087
2005-12-07,-1.2559
2005-12-08,-3.1797
2005-12-09,0.0
2005-12-12,0.0
2005-12-13,-0.4926
2005-12-14,-1.9802
2005-12-15,-1.8519
2005-12-16,30.3602
2005-12-19,6.0526
2005-12-20,-9.5533
2005-12-21,1.3717
2005-12-22,-0.9472
2005-12-23,-0.8197
2005-12-27,-4.1322
2005-12-28,1.1494
2005-12-29,-0.4261
2005-12-30,-2.9957000000000003
2006-01-03,-0.8824
2006-01-04,-1.1869
2006-01-05,5.1051
2006-01-06,-0.1429
2006-01-09,3.0043
2006-01-10,-0.1389
2006-01-11,-0.9736
2006-01-12,-1.8258
2006-01-13,-4.8641
2006-01-17,-0.6015
2006-01-18,-0.6051
2006-01-19,-2.7397
2006-01-20,1.4085
2006-01-23,-0.6173
2006-01-24,-40.8385
2006-01-25,-5.2493
2006-01-26,-2.7701000000000002
2006-01-27,-2.2792
2006-01-30,0.0
2006-01-31,6.414
2006-02-01,4.6575
2006-02-02,-2.8796
2006-02-03,0.0
2006-02-06,7.8167
