date,NBL UW Equity
2020-04-30,-2.3881
2020-05-01,-10.4995
2020-05-02,
2020-05-03,
2020-05-04,4.0433
2020-05-05,-3.4483
2020-05-06,-0.4535
2020-05-07,0.9112
2020-05-08,13.4312
2020-05-09,
2020-05-10,
2020-05-11,-4.337
2020-05-12,-3.4914
2020-05-13,-9.6112
2020-05-14,1.0155
2020-05-15,2.5429
2020-05-16,
2020-05-17,
2020-05-18,13.4948
2020-05-19,-6.25
2020-05-20,5.5285
2020-05-21,3.133
2020-05-22,0.5976
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,1.1881
2020-05-27,-0.3914
2020-05-28,-6.5815
2020-05-29,-8.2019
2020-05-30,
2020-05-31,
2020-06-01,8.2474
2020-06-02,3.8095
2020-06-03,2.0387
2020-06-04,1.2987
2020-06-05,11.0454
2020-06-06,
2020-06-07,
2020-06-08,12.8774
2020-06-09,-7.3171
2020-06-10,-8.7436
2020-06-11,-11.0698
2020-06-12,7.2176
2020-06-13,
2020-06-14,
2020-06-15,0.6829
2020-06-16,3.8275
2020-06-17,-5.553
2020-06-18,1.087
2020-06-19,-2.2483
2020-06-20,
2020-06-21,
2020-06-22,0.0
2020-06-23,-1.4
2020-06-24,-6.0852
2020-06-25,6.2635
2020-06-26,-7.4187
2020-06-27,
2020-06-28,
2020-06-29,-5.0494
2020-06-30,3.5838
2020-07-01,-1.1161
2020-07-02,7.7878
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,-1.0471
2020-07-07,-5.3968
2020-07-08,-1.2864
2020-07-09,-2.0963
2020-07-10,4.2245
2020-07-11,
2020-07-12,
2020-07-13,-3.7202
2020-07-14,10.7266
2020-07-15,2.1354
2020-07-16,1.4278
2020-07-17,-2.916
2020-07-18,
2020-07-19,
2020-07-20,5.4376
2020-07-21,7.7603
2020-07-22,-1.0027
2020-07-23,0.8287
2020-07-24,-0.5479
2020-07-25,
2020-07-26,
2020-07-27,0.0918
2020-07-28,-2.7523
2020-07-29,0.566
2020-07-30,-4.1276
2020-07-31,-2.2505
2020-08-01,
2020-08-02,
2020-08-03,-0.2002
2020-08-04,2.1063
2020-08-05,2.3576
2020-08-06,-0.6718
2020-08-07,-0.5797
2020-08-08,
2020-08-09,
2020-08-10,4.0896
2020-08-11,-0.3742
2020-08-12,0.6573
2020-08-13,-1.3993
2020-08-14,0.4257
2020-08-15,
2020-08-16,
2020-08-17,-0.3297
2020-08-18,-2.552
2020-08-19,-1.0669
2020-08-20,-1.8627
2020-08-21,0.2997
2020-08-22,
2020-08-23,
2020-08-24,3.2869
2020-08-25,-1.35
2020-08-26,-1.6618
2020-08-27,-0.1988
2020-08-28,1.3944
2020-08-29,
2020-08-30,
2020-08-31,-2.2593
2020-09-01,-1.005
2020-09-02,0.0
2020-09-03,-1.3197999999999999
2020-09-04,-0.2058
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,-3.0928
2020-09-09,1.2766
2020-09-10,-2.9412000000000003
2020-09-11,-0.7576
2020-09-12,
2020-09-13,
2020-09-14,-0.4362
2020-09-15,-1.2048
2020-09-16,3.3259
2020-09-17,0.2146
2020-09-18,-0.6424
2020-09-19,
2020-09-20,
2020-09-21,-3.125
2020-09-22,-0.6674
2020-09-23,-4.8152
2020-09-24,0.0
2020-09-25,-0.1176
2020-09-26,
2020-09-27,
2020-09-28,3.0624
2020-09-29,-2.6286
2020-09-30,0.3521
2020-10-01,-2.4561
2020-10-02,1.4388
