date,DOW UN Equity
2020-03-09,-21.6577
2020-03-10,2.8497
2020-03-11,-10.8599
2020-03-12,-15.4341
2020-03-13,8.534
2020-03-14,
2020-03-15,
2020-03-16,-14.3636
2020-03-17,20.9091
2020-03-18,-0.6015
2020-03-19,6.354
2020-03-20,-2.4182
2020-03-21,
2020-03-22,
2020-03-23,-3.1341
2020-03-24,7.1106
2020-03-25,6.7088
2020-03-26,-2.3041
2020-03-27,-3.7736
2020-03-28,
2020-03-29,
2020-03-30,0.3151
2020-03-31,2.0593
2020-04-01,-7.5239
2020-04-02,3.6612
2020-04-03,-0.2141
2020-04-04,
2020-04-05,
2020-04-06,9.1884
2020-04-07,5.8612
2020-04-08,7.609
2020-04-09,5.0877
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,-3.6379
2020-04-14,0.3974
2020-04-15,-8.8776
2020-04-16,-1.8616000000000001
2020-04-17,5.6592
2020-04-18,
2020-04-19,
2020-04-20,-5.6553
2020-04-21,-2.0615
2020-04-22,3.1088
2020-04-23,2.2613
2020-04-24,1.7199
2020-04-25,
2020-04-26,
2020-04-27,3.9855
2020-04-28,4.1521
2020-04-29,4.4606
2020-04-30,-2.0817
2020-05-01,-7.5225
2020-05-02,
2020-05-03,
2020-05-04,-2.5641
2020-05-05,0.9377
2020-05-06,-4.2254
2020-05-07,2.7847
2020-05-08,4.5053
2020-05-09,
2020-05-10,
2020-05-11,-1.2525
2020-05-12,-0.3245
2020-05-13,-4.2616
2020-05-14,3.5858
2020-05-15,0.1492
2020-05-16,
2020-05-17,
2020-05-18,9.4756
2020-05-19,-2.9939999999999998
2020-05-20,1.5152
2020-05-21,-0.995
2020-05-22,0.8375
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,7.392
2020-05-27,2.6553
2020-05-28,-1.0296
2020-05-29,-0.2842
2020-05-30,
2020-05-31,
2020-06-01,0.0259
2020-06-02,5.1541
2020-06-03,2.5369
2020-06-04,2.5943
2020-06-05,2.9501
2020-06-06,
2020-06-07,
2020-06-08,4.3894
2020-06-09,-3.2462
2020-06-10,-1.8689
2020-06-11,-9.9128
2020-06-12,5.0178
2020-06-13,
2020-06-14,
2020-06-15,1.8191000000000002
2020-06-16,0.6432
2020-06-17,-2.5562
2020-06-18,0.9959
2020-06-19,0.1684
2020-06-20,
2020-06-21,
2020-06-22,0.2161
2020-06-23,-0.9344
2020-06-24,-7.0133
2020-06-25,3.9792
2020-06-26,-0.4502
2020-06-27,
2020-06-28,
2020-06-29,2.9648
2020-06-30,-0.5368
2020-07-01,-0.0245
2020-07-02,2.0613
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,2.0678
2020-07-07,-1.7903
2020-07-08,-3.2142
2020-07-09,-2.2553
2020-07-10,3.3468999999999998
2020-07-11,
2020-07-12,
2020-07-13,1.1776
2020-07-14,2.9098
2020-07-15,2.0971
2020-07-16,1.1539
2020-07-17,-0.365
2020-07-18,
2020-07-19,
2020-07-20,-3.1372
2020-07-21,1.7494
2020-07-22,3.0204
2020-07-23,-3.4281
2020-07-24,-0.4904
2020-07-25,
2020-07-26,
2020-07-27,3.2621
2020-07-28,-3.1364
2020-07-29,2.1117
2020-07-30,-4.1131
2020-07-31,-1.6056
2020-08-01,
2020-08-02,
2020-08-03,-2.3624
2020-08-04,3.0681
2020-08-05,1.6215000000000002
2020-08-06,0.1429
2020-08-07,1.3793
2020-08-08,
2020-08-09,
2020-08-10,5.0903
2020-08-11,-0.6696
2020-08-12,-0.4944
2020-08-13,0.3388
2020-08-14,0.9903
2020-08-15,
2020-08-16,
2020-08-17,-0.9138
2020-08-18,0.5623
2020-08-19,-0.1566
2020-08-20,-2.1281
2020-08-21,-0.2289
2020-08-22,
2020-08-23,
2020-08-24,5.8041
2020-08-25,-1.1492
2020-08-26,1.6451
2020-08-27,-0.3884
2020-08-28,1.2782
2020-08-29,
2020-08-30,
2020-08-31,-2.0195
2020-09-01,4.7651
2020-09-02,4.1252
2020-09-03,-1.6863000000000001
2020-09-04,0.434
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,-1.3786
2020-09-09,2.7123
2020-09-10,-1.0766
2020-09-11,2.3614
2020-09-12,
2020-09-13,
2020-09-14,0.4814
2020-09-15,1.9565000000000001
2020-09-16,-2.6826
2020-09-17,2.5553
2020-09-18,-1.1772
2020-09-19,
2020-09-20,
2020-09-21,-4.8839
2020-09-22,-0.2296
2020-09-23,-2.2176
2020-09-24,-0.706
2020-09-25,-0.7972
2020-09-26,
2020-09-27,
2020-09-28,3.1277
2020-09-29,-1.9165999999999999
2020-09-30,1.0307
2020-10-01,-1.9979
2020-10-02,2.6025
2020-10-03,
2020-10-04,
2020-10-05,2.6844
2020-10-06,-1.4409
2020-10-07,0.8772
2020-10-08,2.2359999999999998
2020-10-09,-0.0405
2020-10-10,
2020-10-11,
2020-10-12,-1.5802
2020-10-13,-1.4409
2020-10-14,1.9841
2020-10-15,0.3686
2020-10-16,0.5917
2020-10-17,
2020-10-18,
2020-10-19,-0.9331
2020-10-20,1.0238
2020-10-21,-1.6011
2020-10-22,0.5561
2020-10-23,-0.594
2020-10-24,
2020-10-25,
2020-10-26,-2.8436
2020-10-27,-1.2301
2020-10-28,-2.9848
2020-10-29,2.3683
2020-10-30,-1.6432
2020-10-31,
2020-11-01,
2020-11-02,5.122
2020-11-03,1.903
2020-11-04,-4.6788
2020-11-05,5.4252
2020-11-06,-1.5110999999999999
2020-11-07,
2020-11-08,
2020-11-09,8.0655
2020-11-10,2.5709999999999997
2020-11-11,-2.3382
2020-11-12,-2.241
2020-11-13,1.8221
2020-11-14,
2020-11-15,
2020-11-16,3.7714
2020-11-17,1.0198
2020-11-18,1.5051
2020-11-19,0.0723
2020-11-20,-1.1023
2020-11-21,
2020-11-22,
2020-11-23,2.2109
2020-11-24,3.1999
2020-11-25,-2.2519
2020-11-26,
2020-11-27,-0.5848
2020-11-28,
2020-11-29,
2020-11-30,-4.3141
2020-12-01,0.9809
2020-12-02,-0.6165
2020-12-03,0.7519
2020-12-04,2.7052
2020-12-05,
2020-12-06,
2020-12-07,-3.3424
2020-12-08,2.5183
2020-12-09,0.2016
2020-12-10,-0.4208
2020-12-11,-0.79
2020-12-12,
2020-12-13,
2020-12-14,-1.7407
2020-12-15,2.0166
2020-12-16,-0.5542
2020-12-17,0.0
2020-12-18,3.3996
2020-12-19,
2020-12-20,
2020-12-21,-1.042
2020-12-22,-0.7444
2020-12-23,0.1463
2020-12-24,0.0731
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,-0.9126
2020-12-29,0.0737
2020-12-30,2.0983
2020-12-31,0.0541
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,-2.6306000000000003
2021-01-05,3.2568
2021-01-06,4.7133
2021-01-07,0.1369
2021-01-08,-0.5127
2021-01-09,
2021-01-10,
2021-01-11,1.1166
2021-01-12,3.7037
2021-01-13,-1.6547
2021-01-14,-0.633
2021-01-15,-3.9229000000000003
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,0.4188
2021-01-20,1.7724
2021-01-21,-1.7244000000000002
2021-01-22,-0.1042
2021-01-23,
2021-01-24,
2021-01-25,-0.4696
2021-01-26,-2.6035
