,date,return_direction,prediction
1145,2010-07-22,1,0.5926936507097945
1146,2010-07-23,1,0.5926936507097945
1147,2010-07-26,1,0.5926936507097945
1148,2010-07-27,0,0.5926936507097945
1149,2010-07-28,0,0.5926936507097945
1150,2010-07-29,0,0.6202798428758686
1151,2010-07-30,1,0.6202798428758686
1152,2010-08-02,1,0.5926936507097945
1153,2010-08-03,0,0.6202798428758686
1154,2010-08-04,1,0.5926936507097945
1155,2010-08-05,0,0.5926936507097945
1156,2010-08-06,0,0.5926936507097945
1157,2010-08-09,1,0.5926936507097945
1158,2010-08-10,0,0.5926936507097945
1159,2010-08-11,0,0.5926936507097945
1160,2010-08-12,0,0.6111211350288389
1161,2010-08-13,0,0.5926936507097945
1162,2010-08-16,1,0.5926936507097945
1163,2010-08-17,1,0.6202798428758686
1164,2010-08-18,1,0.5924985580518757
1165,2010-08-19,0,0.5926936507097945
1166,2010-08-20,1,0.6202798428758686
1167,2010-08-23,0,0.5926936507097945
1168,2010-08-24,0,0.5926884893742402
1169,2010-08-25,1,0.6202798428758686
1170,2010-08-26,0,0.6337506611390076
1171,2010-08-27,1,0.5926936507097945
1172,2010-08-30,0,0.6202798428758686
1173,2010-08-31,0,0.5926936507097945
1174,2010-09-01,1,0.6083190887564158
1175,2010-09-02,1,0.5926708181432695
1176,2010-09-03,1,0.6202798428758686
1177,2010-09-07,0,0.593093323188575
1178,2010-09-08,1,0.5926936507097945
1179,2010-09-09,0,0.6348199883526867
1180,2010-09-10,1,0.5926936507097945
1181,2010-09-13,1,0.5926936507097945
1182,2010-09-14,1,0.5926936507097945
1183,2010-09-15,1,0.5926936507097945
1184,2010-09-16,0,0.6202798428758686
1185,2010-09-17,1,0.5926936507097945
1186,2010-09-20,1,0.5926936507097945
1187,2010-09-21,0,0.6096050663714545
1188,2010-09-22,0,0.5926936507097945
1189,2010-09-23,0,0.5926936507097945
1190,2010-09-24,1,0.5926204805997781
1191,2010-09-27,0,0.5926936507097945
1192,2010-09-28,1,0.5926936507097945
1193,2010-09-29,0,0.6202798428758686
1194,2010-09-30,0,0.5935425372221755
1195,2010-10-01,1,0.6202798428758686
1196,2010-10-04,0,0.5926863400925673
1197,2010-10-05,1,0.5926936507097945
1198,2010-10-06,0,0.5989432543431255
1199,2010-10-07,1,0.6399848863577706
1200,2010-10-08,1,0.6389080689530299
1201,2010-10-11,1,0.5925375608847363
1202,2010-10-12,1,0.5926936507097945
1203,2010-10-13,1,0.5926936507097945
1204,2010-10-14,0,0.5926936507097945
1205,2010-10-15,1,0.6284793042732167
