ticker,TJX UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-19,-1.573
2012-10-22,-1.6451
2012-10-23,1.7443
2012-10-24,-1.3856
2012-10-25,-1.5242
2012-10-26,-1.4994
2012-10-31,2.2096999999999998
2012-11-01,1.6094
2012-11-02,-1.8439999999999999
2012-11-05,1.1320000000000001
2012-11-06,-0.7502
2012-11-07,-1.2993000000000001
2012-11-08,-1.609
2012-11-09,0.9167
2012-11-12,0.5892
2012-11-13,2.6605
2012-11-14,0.0713
2012-11-15,-0.2138
2012-11-16,1.0714
2012-11-19,3.8398
2012-11-20,-1.225
2012-11-21,-0.1837
2012-11-23,1.0354
2012-11-26,-0.911
2012-11-27,-0.9653
2012-11-28,2.2047
2012-11-29,0.1817
2012-11-30,0.4986
2012-12-03,-0.654
2012-12-04,-1.5891
2012-12-05,-0.0461
2012-12-06,0.4847
2012-12-07,-0.2067
2012-12-10,-0.8516
2012-12-11,-0.9981
2012-12-12,-0.1876
2012-12-13,-0.1409
2012-12-14,0.2352
2012-12-17,2.3703
2012-12-18,0.1376
2012-12-19,-0.9844
2012-12-20,-2.0809
2012-12-21,-0.9445
2012-12-24,0.6198
2012-12-26,-2.3217
2012-12-27,0.7276
2012-12-28,0.2167
2012-12-31,1.9942
2013-01-02,1.6961
2013-01-03,3.2662
2013-01-04,-0.0449
2013-01-07,-0.6732
2013-01-08,-1.7170999999999998
2013-01-09,0.3908
2013-01-10,0.1374
2013-01-11,0.526
2013-01-14,-0.0682
2013-01-15,0.9561
2013-01-16,-0.0676
2013-01-17,0.6543
2013-01-18,0.3138
2013-01-22,-0.1788
2013-01-23,-0.5597
2013-01-24,1.0131000000000001
2013-01-25,0.5572
2013-01-28,-0.3989
2013-01-29,0.6898
2013-01-30,0.5967
2013-01-31,-0.7469
2013-02-01,0.2656
2013-02-04,-0.1325
2013-02-05,0.8621
2013-02-06,-0.3945
2013-02-07,-0.132
2013-02-08,0.6389
2013-02-11,-0.613
2013-02-12,-0.1872
2013-02-13,-0.4204
2013-02-14,0.4443
2013-02-15,-0.4424
2013-02-19,0.311
2013-02-20,-1.8826
2013-02-21,-0.2032
2013-02-22,0.0226
2013-02-25,-1.4473
2013-02-26,0.2065
2013-02-27,2.4731
2013-02-28,0.4916
2013-03-01,0.0222
2013-03-04,0.4891
2013-03-05,-0.0442
2013-03-06,-0.5312
2013-03-07,-0.7121
2013-03-08,0.6499
2013-03-11,-0.2672
2013-03-12,-0.4465
2013-03-13,0.9643
2013-03-14,0.3998
2013-03-15,-0.6195
2013-03-18,0.0668
2013-03-19,0.3337
2013-03-20,0.643
2013-03-21,0.4847
2013-03-22,2.2144
2013-03-25,1.0725
2013-03-26,-0.2122
2013-03-27,-0.2765
2013-03-28,-0.2986
2013-04-01,0.3209
2013-04-02,1.0021
2013-04-03,-0.5911
2013-04-04,0.6371
2013-04-05,-0.5275
2013-04-08,0.6576
2013-04-09,0.4426
2013-04-10,-0.3147
2013-04-11,2.5888999999999998
2013-04-12,-0.3283
2013-04-15,-2.1202
2013-04-16,0.3575
2013-04-17,-0.8592
2013-04-18,-1.2894
2013-04-19,0.6424
2013-04-22,0.2979
2013-04-23,0.0424
2013-04-24,0.5513
2013-04-25,1.8347
2013-04-26,0.2278
2013-04-29,0.9091
2013-04-30,-0.1433
2013-05-01,-0.8407
2013-05-02,1.0546
2013-05-03,1.3914
2013-05-06,-0.5247
2013-05-07,1.5013
2013-05-08,0.7396
2013-05-09,0.5754
2013-05-10,0.5326
2013-05-13,-0.6083
2013-05-14,1.8657
2013-05-15,0.3304
2013-05-16,-1.666
2013-05-17,1.1229
2013-05-20,0.039
2013-05-21,0.7205
2013-05-22,-2.8809
2013-05-23,0.1394
2013-05-24,1.0934
2013-05-28,-0.3147
2013-05-29,-1.3809
2013-05-30,0.12
2013-05-31,1.1189
2013-06-03,-0.5137
2013-06-04,0.3178
2013-06-05,-0.9899
2013-06-06,-0.18
2013-06-07,1.0617
2013-06-10,-0.2973
2013-06-11,-0.8151
2013-06-12,0.1804
2013-06-13,2.401
2013-06-14,-1.4849999999999999
2013-06-17,-1.2892000000000001
2013-06-18,1.5270000000000001
2013-06-19,-1.3655
2013-06-20,-1.7456
2013-06-21,1.0619
2013-06-24,-1.2932000000000001
2013-06-25,0.8188
2013-06-26,0.5685
2013-06-27,1.1912
2013-06-28,-0.1197
2013-07-01,0.819
2013-07-02,-0.4557
2013-07-03,0.0995
2013-07-05,1.2527
2013-07-08,0.9623
2013-07-09,-0.2918
2013-07-10,0.9949
2013-07-11,0.9079
2013-07-12,0.134
2013-07-15,-0.2294
2013-07-16,0.1341
2013-07-17,0.3253
2013-07-18,-0.0381
2013-07-19,-0.0191
2013-07-22,-0.458
2013-07-23,-0.4218
2013-07-24,-0.6546
2013-07-25,0.3295
2013-07-26,-0.2318
2013-07-29,0.2904
2013-07-30,0.5598
2013-07-31,-0.096
2013-08-01,2.7671
2013-08-02,0.8414
